candidate,excitation,resolution,lifetime_class,state_meaning,alternative_resolution_states,verdict,reason,id
SOF-,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,SOF-@ground
SOF3,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,SOF3@ground
SOF4,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,SOF4@ground
O2F2+,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,O2F2+@ground
O2F2-,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,O2F2-@ground
OF2+,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,OF2+@ground
OF2-,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,OF2-@ground
SO,ground,resolved,not_applicable,electronic ground state,,pass,thermochemical representation is available,SO@ground
SO+,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,SO+@ground
SO-,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,SO-@ground
SOF,ground,resolved,not_applicable,electronic ground state,,unknown,formation enthalpy or NASA coefficients are missing,SOF@ground
