id,equation,family,type,depth,status,verdict,decided
cand_O2_diss_O_1S,e + O2 -> e + O + O_1S,electron,dissociation,0,candidate,endothermic by 9.36 eV,yes
e_Ar4s_superelastic,e + Ar_4s -> e + Ar,electron,deexcitation,1,literature_supported,exothermic by 11.60 eV,yes
e_O2_a1Delta_superelastic,e + O2_a1Delta -> e + O2,electron,deexcitation,1,literature_supported,exothermic by 0.98 eV,yes
e_O2_b1Sigma_superelastic,e + O2_b1Sigma -> e + O2,electron,deexcitation,1,literature_supported,exothermic by 1.63 eV,yes
e_O_1D_superelastic,e + O_1D -> e + O,electron,deexcitation,1,literature_supported,exothermic by 1.97 eV,yes
Arp_O2_charge_transfer,Ar+ + O2 -> Ar + O2+,ion_neutral,charge_transfer,1,literature_supported,exothermic by 3.69 eV,yes
Op_O2_charge_transfer,O+ + O2 -> O + O2+,ion_neutral,charge_transfer,1,literature_supported,exothermic by 1.55 eV,yes
O2a_O2_self_quenching,O2 + O2_a1Delta -> 2 O2,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.98 eV,yes
O1D_O2_quenching_O2_b1Sigma,O_1D + O2 -> O + O2_b1Sigma,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.34 eV,yes
O1D_O2_quenching_O2_a1Delta,O_1D + O2 -> O + O2_a1Delta,neutral_neutral,reactive_scattering,1,literature_supported,exothermic by 0.99 eV,yes
cand_Arp_O_char_Ar_Op,Ar+ + O -> Ar + O+,ion_neutral,charge_transfer,1,candidate,exothermic by 2.14 eV,yes
cand_Arp_O2_a1Delta_char_Ar_O2p,Ar+ + O2_a1Delta -> Ar + O2+,ion_neutral,charge_transfer,1,candidate,exothermic by 4.67 eV,yes
cand_Arp_O2_b1Sigma_char_Ar_O2p,Ar+ + O2_b1Sigma -> Ar + O2+,ion_neutral,charge_transfer,1,candidate,exothermic by 5.32 eV,yes
cand_Arp_O2_b1Sigma_diss_Ar_Op_O,Ar+ + O2_b1Sigma -> Ar + O+ + O,ion_neutral,dissociative_charge_transfer,1,candidate,endothermic by 1.40 eV,yes
cand_Arp_O2_v_char_Ar_O2p,Ar+ + O2_v -> Ar + O2+,ion_neutral,charge_transfer,1,candidate,exothermic by 3.69 eV,yes
cand_Arp_O_1D_char_Ar_Op,Ar+ + O_1D -> Ar + O+,ion_neutral,charge_transfer,1,candidate,exothermic by 4.11 eV,yes
cand_Arp_O_1S_char_Ar_Op,Ar+ + O_1S -> Ar + O+,ion_neutral,charge_transfer,1,candidate,exothermic by 6.33 eV,yes
cand_Op_Ar_4s_char_O_Arp,O+ + Ar_4s -> O + Ar+,ion_neutral,charge_transfer,1,candidate,exothermic by 9.46 eV,yes
cand_Op_O2_a1Delta_char_O_O2p,O+ + O2_a1Delta -> O + O2+,ion_neutral,charge_transfer,1,candidate,exothermic by 2.52 eV,yes
cand_Op_O2_b1Sigma_char_O_O2p,O+ + O2_b1Sigma -> O + O2+,ion_neutral,charge_transfer,1,candidate,exothermic by 3.17 eV,yes
cand_Op_O2_v_char_O_O2p,O+ + O2_v -> O + O2+,ion_neutral,charge_transfer,1,candidate,exothermic by 1.55 eV,yes
cand_O2p_Ar_4s_char_O2_Arp,O2+ + Ar_4s -> O2 + Ar+,ion_neutral,charge_transfer,1,candidate,exothermic by 7.91 eV,yes
cand_O2p_Ar_4s_diss_Op_O_Ar,O2+ + Ar_4s -> O+ + O + Ar,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 4.89 eV,yes
cand_O2p_Ar_4s_diss_O_O_Arp,O2+ + Ar_4s -> O + O + Ar+,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 2.74 eV,yes
cand_O2p_O_char_O2_Op,O2+ + O -> O2 + O+,ion_neutral,charge_transfer,1,candidate,endothermic by 1.55 eV,yes
cand_O2p_O_1D_char_O2_Op,O2+ + O_1D -> O2 + O+,ion_neutral,charge_transfer,1,candidate,exothermic by 0.42 eV,yes
cand_O2p_O_1S_char_O2_Op,O2+ + O_1S -> O2 + O+,ion_neutral,charge_transfer,1,candidate,exothermic by 2.64 eV,yes
