id,formula,charge,state_kind,depth,status,reactions,ready,missing,n_Ar,n_C,n_F,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV
Ar,Ar,0,ground,0,curated,58,yes,,1,0,0,39.948,1.6411,0.0,1.7037,123.55,0.0,154.8,15.759612,-11.5,
Ar+,Ar,1,ground,1,curated,49,no,polarizability_A3,1,0,0,39.94745,,0.0,,,15.75961,,27.62966,,
Ar_4s,Ar,0,excited,1,literature_supported,37,yes,,1,0,0,39.948,1.6423,0.0,1.7037,123.55,11.6,,4.16,,
C,C,0,ground,2,literature_supported,44,yes,,0,1,0,12.011,1.6745,0.0,,,7.429865,158.1,11.260288,1.262119,
C+,C,1,ground,2,candidate,56,no,polarizability_A3,0,1,0,12.010451,,,,,,,,,
CF,CF,0,ground,2,literature_supported,64,no,polarizability_A3,0,1,1,31.009,,1.85,2.0092,243.81,2.645818,,,,
CF*,CF,0,excited,3,candidate,24,no,polarizability_A3,0,1,1,31.009,,1.85,2.0092,243.81,,,,,
CF+,CF,1,ground,2,candidate,9,no,polarizability_A3,0,1,1,31.008855,,,,,,,,,
CF2,CF2,0,ground,1,estimated,84,no,polarizability_A3,0,1,2,50.0075,,0.469,,,-1.8862970774399115,,11.362,0.179,
CF2*,CF2,0,excited,2,candidate,28,no,polarizability_A3,0,1,2,50.0075,,0.469,,,,,,,
CF2+,CF2,1,ground,1,estimated,77,no,polarizability_A3,0,1,2,50.0069514,,,,,9.475702922560089,,,,
CF2_v,CF2,0,excited,2,candidate,47,no,polarizability_A3,0,1,2,50.0075,,0.469,,,,,,,
CF3,CF3,0,ground,1,estimated,81,no,polarizability_A3,0,1,3,69.0059,,0.43,,,-4.852447,264.5,9.05,1.82,0.1086
CF3*,CF3,0,excited,2,candidate,32,no,polarizability_A3,0,1,3,69.0059,,0.43,,,,,,,
CF3+,CF3,1,ground,1,estimated,89,no,polarizability_A3,0,1,3,69.0053514,,,,,4.17589126605252,,,,
CF3_v,CF3,0,excited,2,candidate,51,no,polarizability_A3,0,1,3,69.0059,,0.43,,,-4.743847,,,,
CF4,CF4,0,ground,0,estimated,78,yes,,0,1,4,88.0043,2.824,0.0,2.35,134.0,-9.673802,261.6,14.7,,0.1017
CF4*,CF4,0,excited,1,candidate,29,yes,,0,1,4,88.0043,2.824,0.0,2.35,134.0,,,,,
CF4+,CF4,1,ground,2,estimated,77,no,polarizability_A3,0,1,4,88.0037514,,,,,5.028063556775134,,,,
CF4_v,CF4,0,excited,1,candidate,48,yes,,0,1,4,88.0043,2.824,0.0,2.35,134.0,-9.572102,,,,
CF_v,CF,0,excited,3,candidate,43,no,polarizability_A3,0,1,1,31.009,,1.85,2.0092,243.81,,,,,
C_1D,C,0,excited,2,literature_supported,26,yes,,0,1,0,12.011,1.6745,0.0,,,8.693593,,,,
C_1S,C,0,excited,2,literature_supported,29,yes,,0,1,0,12.011,1.6745,0.0,,,10.113879,,,,
F,F,0,ground,1,curated,219,yes,,0,0,1,18.9984032,0.557,0.0,,,0.822654,158.8,17.42282,3.40119,
F*,F,0,excited,2,candidate,18,yes,,0,0,1,18.9984032,0.557,0.0,,,,,,,
F+,F,1,ground,1,curated,50,no,polarizability_A3,0,0,1,18.9978546,,0.0,,,18.245535725314177,,,,
F2,F2,0,ground,1,literature_supported,110,yes,,0,0,2,37.996,1.16,0.0,1.6785,112.6,0.0,202.8,,,0.0991
F2*,F2,0,excited,2,candidate,28,yes,,0,0,2,37.996,1.16,0.0,1.6785,112.6,,,,,
F2+,F2,1,ground,2,literature_supported,60,no,polarizability_A3,0,0,2,37.99545142,,,,,,,,,
F2_v,F2,0,excited,2,candidate,47,yes,,0,0,2,37.996,1.16,0.0,1.6785,112.6,0.0991,,,,
