reactants,products,id,family,type,depth,status,verdict,decided
e + Ar,e + Ar,e_Ar_elastic,electron,elastic,0,curated,unattested,no
e + Ar,e + Ar_4s,e_Ar_excitation_4s_lumped,electron,excitation,0,curated,unattested,no
e + Ar,e + Ar+,e_Ar_ionization,electron,ionization,0,curated,unattested,no
e + Ar_4s,e + Ar,e_Ar4s_superelastic,electron,deexcitation,1,literature_supported,unattested,no
e + Ar_4s,e + Ar_4s,e_Ar4s_elastic,electron,elastic,1,literature_supported,unattested,no
e + Ar_4s,e + Ar+,e_Ar4s_stepwise_ionization,electron,ionization,1,literature_supported,unattested,no
