id,equation,family,type,depth,status,verdict,decided
SF4_F2_to_SF5_F,SF4 + F2 -> SF5 + F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675,yes
SF4_O_R133,SF4 + O -> SOF4,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675,yes
SF4_O1D_R133,SF4 + O_1D -> SOF4,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675,yes
SF5_F2_to_SF6_F,SF5 + F2 -> SF6 + F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675,yes
SF5_O_R132,SF5 + O -> SOF4 + F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675,yes
SF5_O1D_R132,SF5 + O_1D -> SOF4 + F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675,yes
SF5_SF5_to_SF4_SF6,SF5 + SF5 -> SF4 + SF6,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1116/1.4853675,yes
e_FO_dissociation_F_O,e + FO -> e + F + O,electron,dissociation,2,literature_supported,doi:10.1007/s11090-013-9513-1,yes
e_S_ionization_Sp,e + S -> 2 e + S+,electron,ionization,2,literature_supported,doi:10.1116/1.4853675,yes
e_S_excitation_S_1D,e + S -> e + S_1D,electron,excitation,2,literature_supported,nist_asd,yes
e_S_excitation_S_1S,e + S -> e + S_1S,electron,excitation,2,literature_supported,nist_asd,yes
e_S_1D_elastic,e + S_1D -> e + S_1D,electron,elastic,2,literature_supported,nist_asd,yes
e_S_1D_superelastic,e + S_1D -> e + S,electron,deexcitation,2,literature_supported,nist_asd,yes
e_S_1S_elastic,e + S_1S -> e + S_1S,electron,elastic,2,literature_supported,nist_asd,yes
e_S_1S_superelastic,e + S_1S -> e + S,electron,deexcitation,2,literature_supported,nist_asd,yes
FO_FO_to_2F_O2,FO + FO -> 2 F + O2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1,yes
FO_FO_to_F2_O2,FO + FO -> F2 + O2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1,yes
FO_O_to_F_O2,FO + O -> F + O2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1,yes
FO_O1D_to_F_O2,FO + O_1D -> F + O2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1007/s11090-013-9513-1,yes
S_F2_to_SF_F,S + F2 -> SF + F,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SO_O_R130,SO + O -> SO2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SO_O1D_R130,SO + O_1D -> SO2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SOF_O_R122,SOF + O -> SO2 + F,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SOF_O1D_R122,SOF + O_1D -> SO2 + F,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SOF2_O_R131,SOF2 + O -> SO2F2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SOF2_O1D_R131,SOF2 + O_1D -> SO2F2,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SOF3_O_R123,SOF3 + O -> SO2F2 + F,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SOF3_O1D_R123,SOF3 + O_1D -> SO2F2 + F,neutral_neutral,reactive_scattering,2,literature_supported,doi:10.1116/1.4853675,yes
SOF4_dissociation_SOF3_F,SOF4 -> SOF3 + F,unimolecular,dissociation,2,literature_supported,doi:10.1116/1.4853675,yes
SO2F2_O_R137,SO2F2 + O -> SOF2 + O2,neutral_neutral,reactive_scattering,3,literature_supported,doi:10.1116/1.4853675,yes
SO2F2_O1D_R137,SO2F2 + O_1D -> SOF2 + O2,neutral_neutral,reactive_scattering,3,literature_supported,doi:10.1116/1.4853675,yes
