id,equation,family,type,depth,consume,threshold_eV,electron_energy_cost_eV,rate_value,rate_unit,rate_basis,reverse_rate,frequency_upper_bound_s-1,relevance,delta_g_eV,status,source
cand_O2_diss_O_1S,e + O2 -> e + O + O_1S,electron,dissociation,0,cross_section,,-9.3559,,,,,,unknown,8.867562923752672,candidate,"bond energy 5.17 eV plus the 4.19 eV level; the thermodynamic limit, below any measured onset"
e_Ar4s_elastic,e + Ar_4s -> e + Ar_4s,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,
e_Ar4s_stepwise_ionization,e + Ar_4s -> 2 e + Ar+,electron,ionization,1,cross_section,4.16,4.16,,,,,,unknown,4.175407953046849,literature_supported,
e_Ar4s_superelastic,e + Ar_4s -> e + Ar,electron,deexcitation,1,cross_section,0.0,0.0,,,,,,unknown,-11.599999878283448,literature_supported,
e_F_elastic,e + F -> e + F,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,curated,
e_F_ionization,e + F -> 2 e + F+,electron,ionization,1,cross_section,17.42282,17.42282,,,,,,unknown,17.481024477690294,curated,
e_F2_dissociation_2F,e + F2 -> e + 2 F,electron,dissociation,1,cross_section,4.34,4.34,,,,,,unknown,1.158813047089739,literature_supported,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1."
e_F2_ionization_F2p,e + F2 -> 2 e + F2+,electron,ionization,1,cross_section,15.69,15.69,,,,,,unknown,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_O_elastic,e + O -> e + O,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,
e_O_excitation_O_1D,e + O -> e + O_1D,electron,excitation,1,cross_section,1.967,1.967,,,,,,unknown,1.9669999793606499,curated,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014)."
e_O_ionization,e + O -> 2 e + O+,electron,ionization,1,cross_section,13.618055,13.618055,,,,,,unknown,,curated,
e_O_excitation_O_1S,e + O -> e + O_1S,electron,excitation,1,cross_section,4.189746,4.189746,,,,,,unknown,4.1897459560378065,literature_supported,"NIST Atomic Spectra Database, energy levels (energy1.pl)"
e_O2_a1Delta_elastic,e + O2_a1Delta -> e + O2_a1Delta,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,
e_O2_a1Delta_ionization,e + O2_a1Delta -> 2 e + O2+,electron,ionization,1,cross_section,11.0927,11.0927,,,,,,unknown,,literature_supported,
e_O2_a1Delta_superelastic,e + O2_a1Delta -> e + O2,electron,deexcitation,1,cross_section,0.0,0.0,,,,,,unknown,-0.9769999897485282,literature_supported,
e_O2_b1Sigma_elastic,e + O2_b1Sigma -> e + O2_b1Sigma,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,
e_O2_b1Sigma_ionization,e + O2_b1Sigma -> 2 e + O2+,electron,ionization,1,cross_section,10.4427,10.4427,,,,,,unknown,,literature_supported,
e_O2_b1Sigma_superelastic,e + O2_b1Sigma -> e + O2,electron,deexcitation,1,cross_section,0.0,0.0,,,,,,unknown,-1.6269999829282042,literature_supported,
e_O_1D_elastic,e + O_1D -> e + O_1D,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,
e_O_1D_ionization,e + O_1D -> 2 e + O+,electron,ionization,1,cross_section,11.6511,11.6511,,,,,,unknown,,literature_supported,
e_O_1D_superelastic,e + O_1D -> e + O,electron,deexcitation,1,cross_section,0.0,0.0,,,,,,unknown,-1.9669999793606499,literature_supported,
e_O_1S_elastic,e + O_1S -> e + O_1S,electron,elastic,1,cross_section,0.0,,,,,,,unknown,0.0,literature_supported,"NIST Atomic Spectra Database, energy levels (energy1.pl)"
e_O_1S_superelastic,e + O_1S -> e + O,electron,deexcitation,1,cross_section,0.0,0.0,,,,,,unknown,-4.1897459560378065,literature_supported,"NIST Atomic Spectra Database, energy levels (energy1.pl)"
e_SF_dissociation_S_F,e + SF -> e + S + F,electron,dissociation,1,cross_section,7.9,7.9,,,,,,unknown,0.82497948325668,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF_ionization_SFp,e + SF -> 2 e + SF+,electron,ionization,1,cross_section,10.3,10.3,,,,,,unknown,10.146090865992846,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF2_dissociation_SF_F,e + SF2 -> e + SF + F,electron,dissociation,1,cross_section,8.0,8.0,,,,,,unknown,3.501665088466303,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF2_ionization_SF2p,e + SF2 -> 2 e + SF2+,electron,ionization,1,cross_section,10.8,10.8,,,,,,unknown,10.330332940744434,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF3_dissociation_SF2_F,e + SF3 -> e + SF2 + F,electron,dissociation,1,cross_section,5.0,5.0,,,,,,unknown,2.416677893620253,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF3_ionization,e + SF3 -> 2 e + SF3+,electron,ionization,1,cross_section,8.18,8.18,,,,,,unknown,9.365356426147702,literature_supported,
e_SF4_dissociation_SF3_F,e + SF4 -> e + SF3 + F,electron,dissociation,1,cross_section,8.5,8.5,,,,,,unknown,2.9109927366079167,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF4_dissociative_ionization_SF3p_F,e + SF4 -> 2 e + SF3+ + F,electron,dissociative_ionization,1,cross_section,14.5,14.5,,,,,,unknown,12.276349162755622,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF4_ionization,e + SF4 -> 2 e + SF4+,electron,ionization,1,cross_section,12.0,12.0,,,,,,unknown,12.171569853670947,literature_supported,
e_SF5_dissociation_SF4_F,e + SF5 -> e + SF4 + F,electron,dissociation,1,cross_section,5.0,5.0,,,,,,unknown,1.68570631273813,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF5_dissociative_ionization_SF4p_F,e + SF5 -> 2 e + SF4+ + F,electron,dissociative_ionization,1,cross_section,15.0,15.0,,,,,,unknown,13.857276166409076,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
e_SF5_ionization,e + SF5 -> 2 e + SF5+,electron,ionization,1,cross_section,9.6,9.6,,,,,,unknown,11.232271780932903,literature_supported,
Arp_O2_charge_transfer,Ar+ + O2 -> Ar + O2+,ion_neutral,charge_transfer,1,rate_coefficient,,,6.3e-17,m3/s,dataset,,45630.71425105149,fast,,literature_supported,
Arp_SF6_dissociative_charge_transfer_SF5p_F,Ar+ + SF6 -> Ar + SF5+ + F,ion_neutral,dissociative_charge_transfer,1,rate_coefficient,,,1.54e-15,m3/s,dataset,,1115417.4594701475,fast,-1.206045855050711,literature_supported,
Op_O2_charge_transfer,O+ + O2 -> O + O2+,ion_neutral,charge_transfer,1,rate_coefficient,,,2.1e-17,m3/s,dataset,,15210.23808368383,fast,,literature_supported,
SF5p_SF6_to_SF3p_SF6_F2,SF5+ + SF6 -> SF3+ + SF6 + F2,ion_neutral,reactive_scattering,1,rate_coefficient,,,6e-18,m3/s,dataset,,4345.782309623951,fast,1.5709706474711074,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
F2_O_to_FO_F,F2 + O -> FO + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,9.999999999999999e-23,m3/s,dataset,,0.07242970516039919,slow,-0.6848389074990747,literature_supported,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1."
F2_O1D_to_FO_F,F2 + O_1D -> FO + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,7.940000000000001e-18,m3/s,dataset,,5750.9185897356965,fast,-2.651838886859724,literature_supported,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1."
O2a_O2_self_quenching,O2 + O2_a1Delta -> 2 O2,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1.5e-24,m3/s,dataset,,0.001086445577405988,negligible,-0.9769999897485282,literature_supported,
O1D_O2_quenching_O2_b1Sigma,O_1D + O2 -> O + O2_b1Sigma,neutral_neutral,reactive_scattering,1,rate_coefficient,,,2.64e-17,m3/s,dataset,,19121.44216234539,fast,-0.33999999643244555,literature_supported,
O1D_O2_quenching_O2_a1Delta,O_1D + O2 -> O + O2_a1Delta,neutral_neutral,reactive_scattering,1,rate_coefficient,,,6.6e-18,m3/s,dataset,,4780.360540586347,fast,-0.9899999896121217,literature_supported,
SF_F2_to_SF2_F,SF + F2 -> SF2 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,6.999999999999999e-21,m3/s,dataset,,5.0700793612279424,comparable,-2.342852041376564,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF_O_R121,SF + O -> SO + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1.7e-16,m3/s,dataset,,123130.49877267862,fast,-1.8227082927748417,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF_O_R136,SF + O -> SOF,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1e-16,m3/s,dataset,,72429.70516039919,fast,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
