id,property,value,unit,source
SF2,mass_amu,70.05600000000001,amu,derived from composition
SF2,nasa7,,,"cantera bundled thermodynamic data, listed as SF2 in nasa_gas.yaml"
SF2*,dipole_moment_D,1.05,D,"unchanged from SF2 on excitation; chemicals package bundled molecular property tables, CAS 13814-25-0"
SF2*,mass_amu,70.05600000000001,amu,unchanged from SF2 on excitation; derived from composition
SF2+,mass_amu,70.05545142000001,amu,derived from composition
SF2+,nasa7,,,"cantera bundled thermodynamic data, listed as SF2+ in nasa_gas.yaml"
SF2_v,dipole_moment_D,1.05,D,"unchanged from SF2 on excitation; chemicals package bundled molecular property tables, CAS 13814-25-0"
SF2_v,mass_amu,70.05600000000001,amu,unchanged from SF2 on excitation; derived from composition
SF3,electron_affinity_eV,3.07,eV,"NIST Chemistry WebBook SRD 69, Compton, Reinhardt, et al. (1978), from SF6"
SF3,ionization_energy_eV,8.18,eV,"NIST Chemistry WebBook SRD 69, Fischer, Kickel, et al. (1992), END"
SF3,mass_amu,89.061,amu,standard atomic-weight sum; NIST SRD 107 lists SF3 ionization data
SF3,nasa7,,,"cantera bundled thermodynamic data, listed as SF3 in nasa_gas.yaml"
SF3*,mass_amu,89.061,amu,unchanged from SF3 on excitation; standard atomic-weight sum
SF3+,mass_amu,89.0604514,amu,SF3 neutral mass minus electron mass
SF3+,nasa7,,,"cantera bundled thermodynamic data, listed as SF3+ in nasa_gas.yaml"
SF3_v,mass_amu,89.061,amu,unchanged from SF3 on excitation; standard atomic-weight sum
SF4,dipole_moment_D,0.63,D,"chemicals package bundled molecular property tables, CAS 7783-60-0"
SF4,electron_affinity_eV,1.5,eV,NIST Chemistry WebBook evaluated range
SF4,enthalpy_formation_eV,-7.910011,eV,"chemicals package bundled thermodynamic tables, CAS 7783-60-0, formula verified against the registry"
SF4,entropy_J_mol_K,299.6,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 7783-60-0, formula verified against the registry"
SF4,ionization_energy_eV,12.0,eV,NIST Chemistry WebBook evaluated ionization energy
SF4,mass_amu,108.059,amu,NIST Chemistry WebBook SRD 69
SF4,vibrational_quantum_eV,0.0767,eV,"chemicals TRC gas heat capacity, effective Einstein mode fitted 300-1500 K"
SF4,nasa7,,,"cantera bundled thermodynamic data, listed as SF4 in nasa_gas.yaml"
SF4*,dipole_moment_D,0.63,D,"unchanged from SF4 on excitation; chemicals package bundled molecular property tables, CAS 7783-60-0"
SF4*,mass_amu,108.059,amu,unchanged from SF4 on excitation; NIST Chemistry WebBook SRD 69
SF4+,mass_amu,108.0584514,amu,SF4 neutral mass minus electron mass
SF4+,nasa7,,,"cantera bundled thermodynamic data, listed as SF4+ in nasa_gas.yaml"
SF4_v,dipole_moment_D,0.63,D,"unchanged from SF4 on excitation; chemicals package bundled molecular property tables, CAS 7783-60-0"
SF4_v,enthalpy_formation_eV,-7.833311,eV,SF4 enthalpy plus the 0.0767 eV level energy
SF4_v,mass_amu,108.059,amu,unchanged from SF4 on excitation; NIST Chemistry WebBook SRD 69
SF5,electron_affinity_eV,3.85,eV,NIST Chemistry WebBook electron affinity determination
SF5,enthalpy_formation_eV,-9.415421,eV,"chemicals package bundled thermodynamic tables, CAS 10546-01-7, formula verified against the registry"
SF5,entropy_J_mol_K,304.75,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 10546-01-7, formula verified against the registry"
SF5,ionization_energy_eV,9.6,eV,NIST Chemistry WebBook evaluated ionization energy
SF5,mass_amu,127.057,amu,NIST Chemistry WebBook SRD 69
SF5,nasa7,,,"cantera bundled thermodynamic data, listed as SF5 in nasa_gas.yaml"
SF5*,mass_amu,127.057,amu,unchanged from SF5 on excitation; NIST Chemistry WebBook SRD 69
SF5+,mass_amu,127.0564514,amu,SF5 molecular mass minus electron mass
SF5+,nasa7,,,"cantera bundled thermodynamic data, listed as SF5+ in nasa_gas.yaml"
SF5_v,mass_amu,127.057,amu,unchanged from SF5 on excitation; NIST Chemistry WebBook SRD 69
SF6,collision_radius_A,2.75,A,half of the 5.50 A literature kinetic diameter tabulated in NIST publication 928548
SF6,dipole_moment_D,0.0,D,"octahedral molecular symmetry, NIST CCCBDB"
SF6,electron_affinity_eV,1.03,eV,NIST Chemistry WebBook recommended kinetic determination
SF6,enthalpy_formation_eV,-12.649591,eV,"chemicals package bundled thermodynamic tables, CAS 2551-62-4, formula verified against the registry"
SF6,entropy_J_mol_K,291.5,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 2551-62-4, formula verified against the registry"
SF6,ionization_energy_eV,15.32,eV,NIST Chemistry WebBook evaluated ionization energy
SF6,mass_amu,146.055,amu,NIST Chemistry WebBook SRD 69
SF6,polarizability_A3,4.49,A3,NIST CCCBDB experimental polarizability list
SF6,well_depth_K,271.68,K,"chemicals package bundled molecular property tables, CAS 2551-62-4"
SF6,nasa7,,,"cantera bundled thermodynamic data, listed as SF6 in nasa_gas.yaml"
SF6*,collision_radius_A,2.75,A,unchanged from SF6 on excitation; half of the 5.50 A literature kinetic diameter tabulated in NIST publication 928548
SF6*,dipole_moment_D,0.0,D,"unchanged from SF6 on excitation; octahedral molecular symmetry, NIST CCCBDB"
SF6*,mass_amu,146.055,amu,unchanged from SF6 on excitation; NIST Chemistry WebBook SRD 69
SF6*,polarizability_A3,4.49,A3,unchanged from SF6 on excitation; NIST CCCBDB experimental polarizability list
SF6*,well_depth_K,271.68,K,"unchanged from SF6 on excitation; chemicals package bundled molecular property tables, CAS 2551-62-4"
SF6+,mass_amu,146.049871,amu,"sum of atomic masses in the registry, less the electron mass"
SF6_v,collision_radius_A,2.75,A,unchanged from SF6 on excitation; half of the 5.50 A literature kinetic diameter tabulated in NIST publication 928548
SF6_v,dipole_moment_D,0.0,D,"unchanged from SF6 on excitation; octahedral molecular symmetry, NIST CCCBDB"
SF6_v,mass_amu,146.055,amu,unchanged from SF6 on excitation; NIST Chemistry WebBook SRD 69
SF6_v,polarizability_A3,4.49,A3,unchanged from SF6 on excitation; NIST CCCBDB experimental polarizability list
SF6_v,well_depth_K,271.68,K,"unchanged from SF6 on excitation; chemicals package bundled molecular property tables, CAS 2551-62-4"
SF_v,mass_amu,51.05800000000001,amu,unchanged from SF on excitation; derived from composition
SO,dipole_moment_D,1.55,D,"chemicals package bundled molecular property tables, CAS 13827-32-2"
SO,enthalpy_formation_eV,0.065295,eV,"chemicals package bundled thermodynamic tables, CAS 13827-32-2, formula verified against the registry"
SO,entropy_J_mol_K,222.0,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 13827-32-2, formula verified against the registry"
SO,mass_amu,48.059000000000005,amu,derived from composition
SO,vibrational_quantum_eV,0.1336,eV,"chemicals TRC gas heat capacity, effective Einstein mode fitted 300-1500 K"
SO,nasa7,,,"cantera bundled thermodynamic data, listed as SO in nasa_gas.yaml"
SO*,dipole_moment_D,1.55,D,"unchanged from SO on excitation; chemicals package bundled molecular property tables, CAS 13827-32-2"
SO*,mass_amu,48.059000000000005,amu,unchanged from SO on excitation; derived from composition
SO+,mass_amu,48.058851,amu,"sum of atomic masses in the registry, less the electron mass"
SO2,collision_radius_A,1.9903,A,"chemicals package bundled molecular property tables, CAS 7446-09-5"
SO2,dipole_moment_D,1.63,D,"chemicals package bundled molecular property tables, CAS 7446-09-5"
SO2,enthalpy_formation_eV,-3.076115,eV,"chemicals package bundled thermodynamic tables, CAS 7446-09-5, formula verified against the registry"
SO2,entropy_J_mol_K,248.2,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 7446-09-5, formula verified against the registry"
SO2,mass_amu,64.058,amu,derived from composition
SO2,vibrational_quantum_eV,0.1129,eV,"chemicals TRC gas heat capacity, effective Einstein mode fitted 300-1500 K"
SO2,well_depth_K,333.4,K,"chemicals package bundled molecular property tables, CAS 7446-09-5"
SO2,nasa7,,,"cantera bundled thermodynamic data, listed as SO2 in nasa_gas.yaml"
SO2*,collision_radius_A,1.9903,A,"unchanged from SO2 on excitation; chemicals package bundled molecular property tables, CAS 7446-09-5"
SO2*,dipole_moment_D,1.63,D,"unchanged from SO2 on excitation; chemicals package bundled molecular property tables, CAS 7446-09-5"
SO2*,mass_amu,64.058,amu,unchanged from SO2 on excitation; derived from composition
SO2*,well_depth_K,333.4,K,"unchanged from SO2 on excitation; chemicals package bundled molecular property tables, CAS 7446-09-5"
SO2+,mass_amu,64.058251,amu,"sum of atomic masses in the registry, less the electron mass"
SO2F2,dipole_moment_D,1.12,D,"chemicals package bundled molecular property tables, CAS 2699-79-8"
SO2F2,enthalpy_formation_eV,-7.86192,eV,"chemicals package bundled thermodynamic tables, CAS 2699-79-8, formula verified against the registry"
SO2F2,entropy_J_mol_K,284.0,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 2699-79-8, formula verified against the registry"
SO2F2,mass_amu,102.054,amu,derived from composition
SO2F2,nasa7,,,"cantera bundled thermodynamic data, listed as SO2F2 in nasa_gas.yaml"
SO2F2*,dipole_moment_D,1.12,D,"unchanged from SO2F2 on excitation; chemicals package bundled molecular property tables, CAS 2699-79-8"
SO2F2*,mass_amu,102.054,amu,unchanged from SO2F2 on excitation; derived from composition
SO2F2+,mass_amu,102.055058,amu,"sum of atomic masses in the registry, less the electron mass"
SO2F2_v,dipole_moment_D,1.12,D,"unchanged from SO2F2 on excitation; chemicals package bundled molecular property tables, CAS 2699-79-8"
SO2F2_v,mass_amu,102.054,amu,unchanged from SO2F2 on excitation; derived from composition
SO2_v,collision_radius_A,1.9903,A,"unchanged from SO2 on excitation; chemicals package bundled molecular property tables, CAS 7446-09-5"
SO2_v,dipole_moment_D,1.63,D,"unchanged from SO2 on excitation; chemicals package bundled molecular property tables, CAS 7446-09-5"
SO2_v,enthalpy_formation_eV,-2.963215,eV,SO2 enthalpy plus the 0.1129 eV level energy
SO2_v,mass_amu,64.058,amu,unchanged from SO2 on excitation; derived from composition
SO2_v,well_depth_K,333.4,K,"unchanged from SO2 on excitation; chemicals package bundled molecular property tables, CAS 7446-09-5"
SOF,mass_amu,67.057,amu,derived from composition
SOF*,mass_amu,67.057,amu,unchanged from SOF on excitation; derived from composition
SOF+,mass_amu,67.057255,amu,"sum of atomic masses in the registry, less the electron mass"
SOF2,enthalpy_formation_eV,-5.637334,eV,"chemicals package bundled thermodynamic tables, CAS 7783-42-8, formula verified against the registry"
SOF2,entropy_J_mol_K,278.7,J/mol/K,"chemicals package bundled thermodynamic tables, CAS 7783-42-8, formula verified against the registry"
SOF2,mass_amu,86.055,amu,derived from composition
SOF2,nasa7,,,"cantera bundled thermodynamic data, listed as SOF2 in nasa_gas.yaml"
SOF2*,mass_amu,86.055,amu,unchanged from SOF2 on excitation; derived from composition
SOF2+,mass_amu,86.055658,amu,"sum of atomic masses in the registry, less the electron mass"
SOF2_v,mass_amu,86.055,amu,unchanged from SOF2 on excitation; derived from composition
SOF3,mass_amu,105.053,amu,derived from composition
SOF3*,mass_amu,105.053,amu,unchanged from SOF3 on excitation; derived from composition
SOF3+,mass_amu,105.054061,amu,"sum of atomic masses in the registry, less the electron mass"
SOF3_v,mass_amu,105.053,amu,unchanged from SOF3 on excitation; derived from composition
SOF4,mass_amu,124.051,amu,derived from composition
SOF4*,mass_amu,124.051,amu,unchanged from SOF4 on excitation; derived from composition
SOF4+,mass_amu,124.052464,amu,"sum of atomic masses in the registry, less the electron mass"
SOF4_v,mass_amu,124.051,amu,unchanged from SOF4 on excitation; derived from composition
SOF_v,mass_amu,67.057,amu,unchanged from SOF on excitation; derived from composition
SO_v,dipole_moment_D,1.55,D,"unchanged from SO on excitation; chemicals package bundled molecular property tables, CAS 13827-32-2"
SO_v,enthalpy_formation_eV,0.198895,eV,SO enthalpy plus the 0.1336 eV level energy
SO_v,mass_amu,48.059000000000005,amu,unchanged from SO on excitation; derived from composition
S_1D,dipole_moment_D,0.0,D,atomic symmetry
S_1D,enthalpy_formation_eV,4.018417,eV,S enthalpy plus the level energy
S_1D,mass_amu,32.06,amu,same nucleus as S
S_1D,polarizability_A3,2.8748,A3,"unchanged from S on excitation; mendeleev package, bundled periodic table, dipole polarizability in atomic units"
S_1D,nasa7,,,S polynomial with the 1.145 eV level energy added to the enthalpy constant
S_1S,dipole_moment_D,0.0,D,atomic symmetry
S_1S,enthalpy_formation_eV,5.62294,eV,S enthalpy plus the level energy
S_1S,mass_amu,32.06,amu,same nucleus as S
S_1S,polarizability_A3,2.8748,A3,"unchanged from S on excitation; mendeleev package, bundled periodic table, dipole polarizability in atomic units"
S_1S,nasa7,,,S polynomial with the 2.75 eV level energy added to the enthalpy constant
e,mass_amu,0.00054858,amu,physical constant
