id,formula,charge,state_kind,state_label,state_energy_eV,depth,n_Ar,n_F,n_O,n_S,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV,has_thermo,status,missing
SF3*,F3S,0,excited,lumped,,2,0,3,0,1,89.061,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF3+,F3S,1,ground,X,0.0,1,0,3,0,1,89.0604514,,,,,,,,,,yes,literature_supported,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF3_v,F3S,0,excited,vibrational,,2,0,3,0,1,89.061,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF4,F4S,0,ground,X,0.0,1,0,4,0,1,108.059,,0.63,,,-7.910011,299.6,12.0,1.5,0.0767,yes,curated,polarizability_A3 collision_radius_A well_depth_K
SF4*,F4S,0,excited,lumped,,2,0,4,0,1,108.059,,0.63,,,,,,,,no,candidate,polarizability_A3 collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF4+,F4S,1,ground,X,0.0,1,0,4,0,1,108.0584514,,,,,,,,,,yes,literature_supported,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF4_v,F4S,0,excited,vibrational,0.0767,2,0,4,0,1,108.059,,0.63,,,-7.833311,,,,,no,candidate,polarizability_A3 collision_radius_A well_depth_K entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF5,F5S,0,ground,X,0.0,1,0,5,0,1,127.057,,,,,-9.415421,304.75,9.6,3.85,,yes,curated,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K vibrational_quantum_eV
SF5*,F5S,0,excited,lumped,,2,0,5,0,1,127.057,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF5+,F5S,1,ground,ion,0.0,1,0,5,0,1,127.0564514,,,,,,,,,,yes,literature_supported,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF5_v,F5S,0,excited,vibrational,,2,0,5,0,1,127.057,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF6,F6S,0,ground,X1A1g,0.0,0,0,6,0,1,146.055,4.49,0.0,2.75,271.68,-12.649591,291.5,15.32,1.03,,yes,curated,vibrational_quantum_eV
SF6*,F6S,0,excited,lumped,,1,0,6,0,1,146.055,4.49,0.0,2.75,271.68,,,,,,no,candidate,enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF6+,F6S,1,ground,,,1,0,6,0,1,146.049871,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF6_v,F6S,0,excited,vibrational,,1,0,6,0,1,146.055,4.49,0.0,2.75,271.68,,,,,,no,candidate,enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SF_v,FS,0,excited,vibrational,,2,0,1,0,1,51.05800000000001,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO,OS,0,ground,X,0.0,2,0,0,1,1,48.059000000000005,,1.55,,,0.065295,222.0,,,0.1336,yes,literature_supported,polarizability_A3 collision_radius_A well_depth_K ionization_energy_eV electron_affinity_eV
SO*,OS,0,excited,lumped,,3,0,0,1,1,48.059000000000005,,1.55,,,,,,,,no,candidate,polarizability_A3 collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO+,OS,1,ground,,,3,0,0,1,1,48.058851,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO2,O2S,0,ground,X,0.0,3,0,0,2,1,64.058,,1.63,1.9903,333.4,-3.076115,248.2,,,0.1129,yes,literature_supported,polarizability_A3 ionization_energy_eV electron_affinity_eV
SO2*,O2S,0,excited,lumped,,4,0,0,2,1,64.058,,1.63,1.9903,333.4,,,,,,no,candidate,polarizability_A3 enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO2+,O2S,1,ground,,,4,0,0,2,1,64.058251,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO2F2,F2O2S,0,ground,X,0.0,3,0,2,2,1,102.054,,1.12,,,-7.86192,284.0,,,,yes,literature_supported,polarizability_A3 collision_radius_A well_depth_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO2F2*,F2O2S,0,excited,lumped,,4,0,2,2,1,102.054,,1.12,,,,,,,,no,candidate,polarizability_A3 collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO2F2+,F2O2S,1,ground,,,4,0,2,2,1,102.055058,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO2F2_v,F2O2S,0,excited,vibrational,,4,0,2,2,1,102.054,,1.12,,,,,,,,no,candidate,polarizability_A3 collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO2_v,O2S,0,excited,vibrational,0.1129,4,0,0,2,1,64.058,,1.63,1.9903,333.4,-2.963215,,,,,no,candidate,polarizability_A3 entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF,FOS,0,ground,X,0.0,2,0,1,1,1,67.057,,,,,,,,,,no,literature_supported,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF*,FOS,0,excited,lumped,,3,0,1,1,1,67.057,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF+,FOS,1,ground,,,3,0,1,1,1,67.057255,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF2,F2OS,0,ground,X,0.0,2,0,2,1,1,86.055,,,,,-5.637334,278.7,,,,yes,literature_supported,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF2*,F2OS,0,excited,lumped,,3,0,2,1,1,86.055,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF2+,F2OS,1,ground,,,3,0,2,1,1,86.055658,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF2_v,F2OS,0,excited,vibrational,,3,0,2,1,1,86.055,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF3,F3OS,0,ground,X,0.0,2,0,3,1,1,105.053,,,,,,,,,,no,literature_supported,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF3*,F3OS,0,excited,lumped,,3,0,3,1,1,105.053,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF3+,F3OS,1,ground,,,3,0,3,1,1,105.054061,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF3_v,F3OS,0,excited,vibrational,,3,0,3,1,1,105.053,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF4,F4OS,0,ground,X,0.0,2,0,4,1,1,124.051,,,,,,,,,,no,literature_supported,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF4*,F4OS,0,excited,lumped,,3,0,4,1,1,124.051,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF4+,F4OS,1,ground,,,3,0,4,1,1,124.052464,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF4_v,F4OS,0,excited,vibrational,,3,0,4,1,1,124.051,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SOF_v,FOS,0,excited,vibrational,,3,0,1,1,1,67.057,,,,,,,,,,no,candidate,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
SO_v,OS,0,excited,vibrational,0.1336,3,0,0,1,1,48.059000000000005,,1.55,,,0.198895,,,,,no,candidate,polarizability_A3 collision_radius_A well_depth_K entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
S_1D,S,0,excited,1D,1.145442,2,0,0,0,1,32.06,2.8748,0.0,,,4.018417,,,,,yes,literature_supported,collision_radius_A well_depth_K entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
S_1S,S,0,excited,1S,2.749964,2,0,0,0,1,32.06,2.8748,0.0,,,5.62294,,,,,yes,literature_supported,collision_radius_A well_depth_K entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
e,,-1,ground,,,0,0,0,0,0,0.00054858,,,,,,,,,,no,curated,polarizability_A3 dipole_moment_D collision_radius_A well_depth_K enthalpy_formation_eV entropy_J_mol_K ionization_energy_eV electron_affinity_eV vibrational_quantum_eV
