id,equation,family,type,depth,status,verdict,decided
e_Ar4s_superelastic,e + Ar_4s -> e + Ar,electron,deexcitation,1,literature_supported,exothermic by 11.60 eV,yes
cand_CF2_diss_C_1D,e + CF2 -> e + F2 + C_1D,electron,dissociation,1,candidate,endothermic by 10.58 eV,yes
cand_CF2_diss_C_1S,e + CF2 -> e + F2 + C_1S,electron,dissociation,1,candidate,endothermic by 12.00 eV,yes
cand_Arp_CF2_char_Ar_CF2p,Ar+ + CF2 -> Ar + CF2+,ion_neutral,charge_transfer,1,candidate,exothermic by 4.40 eV,yes
cand_Arp_CF3_char_Ar_CF3p,Ar+ + CF3 -> Ar + CF3+,ion_neutral,charge_transfer,1,candidate,exothermic by 6.71 eV,yes
cand_Arp_CF3_diss_Ar_CF2p_F,Ar+ + CF3 -> Ar + CF2+ + F,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 0.61 eV,yes
cand_Arp_CF4_char_Ar_CF4p,Ar+ + CF4 -> Ar + CF4+,ion_neutral,charge_transfer,1,candidate,exothermic by 1.06 eV,yes
cand_Arp_CF4_diss_Ar_CF3p_F,Ar+ + CF4 -> Ar + CF3+ + F,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 1.07 eV,yes
cand_Arp_CF4*_char_Ar_CF4p,Ar+ + CF4* -> Ar + CF4+,ion_neutral,charge_transfer,1,candidate,exothermic by 1.06 eV,yes
cand_Arp_CF4*_diss_Ar_CF3p_F,Ar+ + CF4* -> Ar + CF3+ + F,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 1.07 eV,yes
cand_Arp_CF4_v_char_Ar_CF4p,Ar+ + CF4_v -> Ar + CF4+,ion_neutral,charge_transfer,1,candidate,exothermic by 1.06 eV,yes
cand_Arp_CF4_v_diss_Ar_CF3p_F,Ar+ + CF4_v -> Ar + CF3+ + F,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 1.07 eV,yes
cand_Arp_F_char_Ar_Fp,Ar+ + F -> Ar + F+,ion_neutral,charge_transfer,1,candidate,endothermic by 1.66 eV,yes
cand_Arp_F2_char_Ar_F2p,Ar+ + F2 -> Ar + F2+,ion_neutral,charge_transfer,1,candidate,exothermic by 0.07 eV,yes
cand_Arp_F2_reac_Arp_F_F,Ar+ + F2 -> Ar+ + F + F,ion_neutral,reactive_scattering,1,candidate,endothermic by 1.65 eV,yes
cand_CF2p_Ar_4s_char_CF2_Arp,CF2+ + Ar_4s -> CF2 + Ar+,ion_neutral,charge_transfer,1,candidate,exothermic by 7.20 eV,yes
cand_CF2p_Ar_4s_diss_CF_Fp_Ar,CF2+ + Ar_4s -> CF + F+ + Ar,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 0.18 eV,yes
cand_CF2p_Ar_4s_diss_CF_F_Arp,CF2+ + Ar_4s -> CF + F + Ar+,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 1.85 eV,yes
cand_CF2p_Ar_4s_diss_Cp_F2_Ar,CF2+ + Ar_4s -> C+ + F2 + Ar,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 2.39 eV,yes
cand_CF2p_CF2_diss_CF3p_CF,CF2+ + CF2 -> CF3+ + CF,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 0.75 eV,yes
cand_CF2p_CF3_char_CF2_CF3p,CF2+ + CF3 -> CF2 + CF3+,ion_neutral,charge_transfer,1,candidate,exothermic by 2.31 eV,yes
cand_CF2p_CF4_diss_CF3p_CF3,CF2+ + CF4 -> CF3+ + CF3,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 0.46 eV,yes
cand_CF2p_CF4*_diss_CF3p_CF3,CF2+ + CF4* -> CF3+ + CF3,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 0.46 eV,yes
cand_CF2p_CF4_v_diss_CF3p_CF3,CF2+ + CF4_v -> CF3+ + CF3,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 0.46 eV,yes
cand_CF2p_F2_reac_CF2p_F_F,CF2+ + F2 -> CF2+ + F + F,ion_neutral,reactive_scattering,1,candidate,endothermic by 1.65 eV,yes
cand_CF3p_Ar_4s_char_CF3_Arp,CF3+ + Ar_4s -> CF3 + Ar+,ion_neutral,charge_transfer,1,candidate,exothermic by 4.87 eV,yes
cand_CF3p_Ar_4s_diss_CF2p_F_Ar,CF3+ + Ar_4s -> CF2+ + F + Ar,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 5.48 eV,yes
cand_CF3p_Ar_4s_diss_CF2_Fp_Ar,CF3+ + Ar_4s -> CF2 + F+ + Ar,ion_neutral,dissociative_charge_transfer,1,candidate,endothermic by 0.58 eV,yes
