candidate,reaction_type,verdict,reason,id
e + O2 -> O2 + e,Electron elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_5f0e9e57072b
e + Ar -> Ar(m) + e,Electron-impact excitation,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_86e8fb853dd8
e + Ar -> Ar(r) + e,Electron-impact excitation,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_271084b2fc94
e + O2 -> O2(v) + e,Electron-impact excitation,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_ddfd4cfd2bad
e + O2 -> O2* + e,Electron-impact excitation,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_4f5cc5cb071e
e + Ar -> Ar+ + 2 e,Electron-impact ionization,pass,every non-electron reactant and product passes its State assessment,rxn_a69a28bff768
e + O2 -> O2+ + 2 e,Electron-impact ionization,pass,every non-electron reactant and product passes its State assessment,rxn_1ca03209bf56
e + O -> O-,Electron attachment,pass,every non-electron reactant and product passes its State assessment,rxn_f2d5b52e7a92
e + Ar(m) -> Ar + e,Electron-impact deexcitation (superelastic),unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_fa2f9066d8c2
e + Ar(r) -> Ar + e,Electron-impact deexcitation (superelastic),unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_ed39dd867e7c
e + O2(v) -> O2 + e,Electron-impact deexcitation (superelastic),unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_3a3dcf92975f
e + O2* -> O2 + e,Electron-impact deexcitation (superelastic),unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_6c5f72d907c5
e + Ar- -> Ar + 2 e,Electron-impact detachment,fail,at least one non-electron reactant or product fails its State assessment,rxn_d83b0309c1b0
e + O- -> O + 2 e,Electron-impact detachment,pass,every non-electron reactant and product passes its State assessment,rxn_08399feb356b
e + O2- -> O2 + 2 e,Electron-impact detachment,pass,every non-electron reactant and product passes its State assessment,rxn_2c4965e684b5
e + O2+ -> 2 O,Dissociative recombination,pass,every non-electron reactant and product passes its State assessment,rxn_0344fa41a70f
e + Ar(m) -> Ar(m) + e,Electron elastic scattering,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_6544183a7e7e
e + Ar(r) -> Ar(r) + e,Electron elastic scattering,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_4a11bdf2a171
e + Ar+ -> Ar+ + e,Electron elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_ce746e5f7015
e + Ar- -> Ar- + e,Electron elastic scattering,fail,at least one non-electron reactant or product fails its State assessment,rxn_f4bf18f98733
e + O -> O + e,Electron elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_ec1ff806cd78
e + O+ -> O+ + e,Electron elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_ced7ed171430
e + O- -> O- + e,Electron elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_c605c558423a
e + O2(v) -> O2(v) + e,Electron elastic scattering,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_098eb6a80062
e + O2* -> O2* + e,Electron elastic scattering,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_f3a308be1edd
e + O2+ -> O2+ + e,Electron elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_4392ff7146da
e + O2- -> O2- + e,Electron elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_88181a7e6efe
e + Ar(m) -> Ar+ + 2 e,Electron-impact ionization,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_dff2bd46b5c5
e + Ar(r) -> Ar+ + 2 e,Electron-impact ionization,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_5ccce802fea8
e + O -> O+ + 2 e,Electron-impact ionization,pass,every non-electron reactant and product passes its State assessment,rxn_02b625c9d811
e + O2(v) -> O2+ + 2 e,Electron-impact ionization,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_2400ffdfb3a5
e + O2* -> O2+ + 2 e,Electron-impact ionization,unknown,at least one non-electron reactant or product has an unknown State assessment,rxn_1367abd723f8
e + Ar+ -> Ar,Electron-ion recombination,pass,every non-electron reactant and product passes its State assessment,rxn_b9b97c9cedf9
e + O+ -> O,Electron-ion recombination,pass,every non-electron reactant and product passes its State assessment,rxn_a065d9985ac4
e + O2+ -> O2,Electron-ion recombination,pass,every non-electron reactant and product passes its State assessment,rxn_fe3ef2a625bf
