candidate,reaction_type,verdict,reason,id
Ar+ + O -> O+ + Ar,Charge exchange,pass,every non-electron reactant and product passes its State assessment,rxn_baee40490ad8
Ar+ + O2 -> O2+ + Ar,Charge exchange,pass,every non-electron reactant and product passes its State assessment,rxn_2d29145e0f98
Ar- + O -> O- + Ar,Charge exchange,fail,at least one non-electron reactant or product fails its State assessment,rxn_1025dffb221c
Ar- + O2 -> O2- + Ar,Charge exchange,fail,at least one non-electron reactant or product fails its State assessment,rxn_19e271a11252
O+ + Ar -> Ar+ + O,Charge exchange,pass,every non-electron reactant and product passes its State assessment,rxn_81849ac06cf9
O+ + O2 -> O2+ + O,Charge exchange,pass,every non-electron reactant and product passes its State assessment,rxn_2bf32666fe5b
O- + Ar -> Ar- + O,Charge exchange,fail,at least one non-electron reactant or product fails its State assessment,rxn_5d5111d16a78
O- + O2 -> O2- + O,Charge exchange,pass,every non-electron reactant and product passes its State assessment,rxn_b4bebcad19c6
O2+ + Ar -> Ar+ + O2,Charge exchange,pass,every non-electron reactant and product passes its State assessment,rxn_88b106712082
O2+ + O -> O+ + O2,Charge exchange,pass,every non-electron reactant and product passes its State assessment,rxn_37bbce670254
O2- + Ar -> Ar- + O2,Charge exchange,fail,at least one non-electron reactant or product fails its State assessment,rxn_3f735a110e81
O2- + O -> O- + O2,Charge exchange,pass,every non-electron reactant and product passes its State assessment,rxn_9806fd0ca7ab
Ar- + Ar -> 2 Ar + e,Collisional electron detachment,fail,at least one non-electron reactant or product fails its State assessment,rxn_754c5eca1437
Ar- + O -> Ar + O + e,Collisional electron detachment,fail,at least one non-electron reactant or product fails its State assessment,rxn_75a6567cee43
Ar- + O2 -> Ar + O2 + e,Collisional electron detachment,fail,at least one non-electron reactant or product fails its State assessment,rxn_9934f424f8c0
O- + Ar -> Ar + O + e,Collisional electron detachment,pass,every non-electron reactant and product passes its State assessment,rxn_4db0a6c546c7
O- + O -> 2 O + e,Collisional electron detachment,pass,every non-electron reactant and product passes its State assessment,rxn_a8c8162d07bf
O- + O2 -> O + O2 + e,Collisional electron detachment,pass,every non-electron reactant and product passes its State assessment,rxn_2c4a5b821b8e
O2- + Ar -> Ar + O2 + e,Collisional electron detachment,pass,every non-electron reactant and product passes its State assessment,rxn_cbe14dbb7875
O2- + O -> O + O2 + e,Collisional electron detachment,pass,every non-electron reactant and product passes its State assessment,rxn_2927232caf86
O2- + O2 -> 2 O2 + e,Collisional electron detachment,pass,every non-electron reactant and product passes its State assessment,rxn_69470fb52c9e
Ar+ + O -> Ar+ + O,Ion-neutral elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_b23dfcecb0fc
Ar+ + O2 -> Ar+ + O2,Ion-neutral elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_116c2a39f075
Ar- + O -> Ar- + O,Ion-neutral elastic scattering,fail,at least one non-electron reactant or product fails its State assessment,rxn_981ebdf563ba
Ar- + O2 -> Ar- + O2,Ion-neutral elastic scattering,fail,at least one non-electron reactant or product fails its State assessment,rxn_37b2f906b55b
O+ + Ar -> O+ + Ar,Ion-neutral elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_c8bbb52f16db
O+ + O2 -> O+ + O2,Ion-neutral elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_217ec02f8a25
O- + Ar -> O- + Ar,Ion-neutral elastic scattering,pass,every non-electron reactant and product passes its State assessment,rxn_1cb8cdec1cfe
