id,equation,family,type,depth,status,verdict,decided
e_Ar_elastic,e + Ar -> e + Ar,electron,elastic,0,curated,thermoneutral,yes
e_Ar_excitation_4s_lumped,e + Ar -> e + Ar_4s,electron,excitation,0,curated,endothermic by 11.60 eV,yes
e_Ar_ionization,e + Ar -> 2 e + Ar+,electron,ionization,0,curated,endothermic by 15.76 eV,yes
e_O2_elastic,e + O2 -> e + O2,electron,elastic,0,curated,thermoneutral,yes
e_O2_excitation_O2_a1Delta,e + O2 -> e + O2_a1Delta,electron,excitation,0,curated,endothermic by 0.98 eV,yes
e_O2_excitation_O2_b1Sigma,e + O2 -> e + O2_b1Sigma,electron,excitation,0,curated,endothermic by 1.63 eV,yes
e_O2_ionization,e + O2 -> 2 e + O2+,electron,ionization,0,curated,endothermic by 12.07 eV,yes
e_O2_dissociation_O_O,e + O2 -> e + 2 O,electron,dissociation,0,literature_supported,endothermic by 5.17 eV,yes
e_O2_dissociation_O_O1D,e + O2 -> e + O + O_1D,electron,dissociation,0,literature_supported,endothermic by 7.13 eV,yes
e_SF6_elastic,e + SF6 -> e + SF6,electron,elastic,0,curated,thermoneutral,yes
e_SF6_dissociation_SF5_F,e + SF6 -> e + SF5 + F,electron,dissociation,0,literature_supported,endothermic by 4.06 eV,yes
e_SF6_dissociation_SF4_2F,e + SF6 -> e + SF4 + 2 F,electron,dissociation,0,literature_supported,endothermic by 6.38 eV,yes
e_SF6_dissociation_SF2_F2_2F,e + SF6 -> e + SF2 + F2 + 2 F,electron,dissociation,0,literature_supported,endothermic by 11.22 eV,yes
e_SF6_dissociative_ionization_Fp_SF4_F,e + SF6 -> 2 e + F+ + SF4 + F,electron,dissociative_ionization,0,literature_supported,endothermic by 23.81 eV,yes
cand_e_O2_to_e_O2_v,e + O2 -> e + O2_v,electron,excitation,0,candidate,endothermic by 0.19 eV,yes
cand_e_O2_v_to_e_O2,e + O2_v -> e + O2,electron,deexcitation,0,candidate,exothermic by 0.19 eV,yes
cand_e_O2_to_e_e_Op_O,e + O2 -> e + e + O+ + O,electron,dissociative_ionization,0,candidate,endothermic by 18.78 eV,yes
cand_e_SF6_to_e_SF4_F2,e + SF6 -> e + SF4 + F2,electron,dissociation,0,candidate,endothermic by 4.74 eV,yes
cand_O2_diss_O_1S,e + O2 -> e + O + O_1S,electron,dissociation,0,candidate,endothermic by 9.36 eV,yes
e_Ar4s_elastic,e + Ar_4s -> e + Ar_4s,electron,elastic,1,literature_supported,thermoneutral,yes
e_Ar4s_stepwise_ionization,e + Ar_4s -> 2 e + Ar+,electron,ionization,1,literature_supported,endothermic by 4.16 eV,yes
e_Ar4s_superelastic,e + Ar_4s -> e + Ar,electron,deexcitation,1,literature_supported,exothermic by 11.60 eV,yes
e_F_elastic,e + F -> e + F,electron,elastic,1,curated,thermoneutral,yes
e_F_ionization,e + F -> 2 e + F+,electron,ionization,1,curated,endothermic by 17.42 eV,yes
e_F2_dissociation_2F,e + F2 -> e + 2 F,electron,dissociation,1,literature_supported,endothermic by 1.65 eV,yes
e_O_elastic,e + O -> e + O,electron,elastic,1,literature_supported,thermoneutral,yes
e_O_excitation_O_1D,e + O -> e + O_1D,electron,excitation,1,curated,endothermic by 1.97 eV,yes
e_O_ionization,e + O -> 2 e + O+,electron,ionization,1,curated,endothermic by 13.62 eV,yes
e_O_excitation_O_1S,e + O -> e + O_1S,electron,excitation,1,literature_supported,endothermic by 4.19 eV,yes
e_O2_a1Delta_elastic,e + O2_a1Delta -> e + O2_a1Delta,electron,elastic,1,literature_supported,thermoneutral,yes
e_O2_a1Delta_ionization,e + O2_a1Delta -> 2 e + O2+,electron,ionization,1,literature_supported,endothermic by 11.09 eV,yes
e_O2_a1Delta_superelastic,e + O2_a1Delta -> e + O2,electron,deexcitation,1,literature_supported,exothermic by 0.98 eV,yes
e_O2_b1Sigma_elastic,e + O2_b1Sigma -> e + O2_b1Sigma,electron,elastic,1,literature_supported,thermoneutral,yes
e_O2_b1Sigma_ionization,e + O2_b1Sigma -> 2 e + O2+,electron,ionization,1,literature_supported,endothermic by 10.44 eV,yes
e_O2_b1Sigma_superelastic,e + O2_b1Sigma -> e + O2,electron,deexcitation,1,literature_supported,exothermic by 1.63 eV,yes
e_O_1D_elastic,e + O_1D -> e + O_1D,electron,elastic,1,literature_supported,thermoneutral,yes
e_O_1D_ionization,e + O_1D -> 2 e + O+,electron,ionization,1,literature_supported,endothermic by 11.65 eV,yes
e_O_1D_superelastic,e + O_1D -> e + O,electron,deexcitation,1,literature_supported,exothermic by 1.97 eV,yes
e_O_1S_elastic,e + O_1S -> e + O_1S,electron,elastic,1,literature_supported,thermoneutral,yes
e_O_1S_superelastic,e + O_1S -> e + O,electron,deexcitation,1,literature_supported,exothermic by 4.19 eV,yes
e_SF5_dissociation_SF4_F,e + SF5 -> e + SF4 + F,electron,dissociation,1,literature_supported,endothermic by 2.33 eV,yes
