id,formula,charge,state_kind,depth,status,reactions,ready,missing,n_Ar,n_F,n_O,n_S,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV
SF6,F6S,0,ground,0,curated,196,yes,,0,6,0,1,146.055,4.49,0.0,2.75,271.68,-12.649591,291.5,15.32,1.03,
SF6*,F6S,0,excited,1,candidate,58,no,enthalpy_formation_eV|ionization_energy_eV,0,6,0,1,146.055,4.49,0.0,2.75,271.68,,,,,
SF6+,F6S,1,ground,1,candidate,248,no,enthalpy_formation_eV|ionization_energy_eV,0,6,0,1,146.049871,,,,,,,,,
SF6_v,F6S,0,excited,1,candidate,114,no,enthalpy_formation_eV|ionization_energy_eV,0,6,0,1,146.055,4.49,0.0,2.75,271.68,,,,,
SF_v,FS,0,excited,2,candidate,110,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,1,51.05800000000001,,,,,,,,,
SO,OS,0,ground,2,literature_supported,132,no,ionization_energy_eV,0,0,1,1,48.059000000000005,,1.55,,,0.065295,222.0,,,0.1336
SO*,OS,0,excited,3,candidate,46,no,enthalpy_formation_eV|ionization_energy_eV,0,0,1,1,48.059000000000005,,1.55,,,,,,,
SO+,OS,1,ground,3,candidate,9,no,enthalpy_formation_eV|ionization_energy_eV,0,0,1,1,48.058851,,,,,,,,,
SO2,O2S,0,ground,3,literature_supported,131,no,ionization_energy_eV,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,-3.076115,248.2,,,0.1129
SO2*,O2S,0,excited,4,candidate,50,no,enthalpy_formation_eV|ionization_energy_eV,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,,,,,
SO2+,O2S,1,ground,4,candidate,3,no,enthalpy_formation_eV|ionization_energy_eV,0,0,2,1,64.058251,,,,,,,,,
SO2F2,F2O2S,0,ground,3,literature_supported,134,no,ionization_energy_eV,0,2,2,1,102.054,,1.12,,,-7.86192,284.0,,,
SO2F2*,F2O2S,0,excited,4,candidate,54,no,enthalpy_formation_eV|ionization_energy_eV,0,2,2,1,102.054,,1.12,,,,,,,
SO2F2+,F2O2S,1,ground,4,candidate,3,no,enthalpy_formation_eV|ionization_energy_eV,0,2,2,1,102.055058,,,,,,,,,
SO2F2_v,F2O2S,0,excited,4,candidate,110,no,enthalpy_formation_eV|ionization_energy_eV,0,2,2,1,102.054,,1.12,,,,,,,
SO2_v,O2S,0,excited,4,candidate,106,no,ionization_energy_eV,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,-2.963215,,,,
SOF,FOS,0,ground,2,literature_supported,119,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,1,67.057,,,,,,,,,
SOF*,FOS,0,excited,3,candidate,41,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,1,67.057,,,,,,,,,
SOF+,FOS,1,ground,3,candidate,9,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,1,67.057255,,,,,,,,,
