id,formula,charge,state_kind,depth,status,reactions,ready,missing,n_Ar,n_F,n_O,n_S,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV
Ar,Ar,0,ground,0,curated,104,yes,,1,0,0,0,39.948,1.6411,0.0,1.7037,123.55,0.0,154.8,15.759612,-11.5,
Ar+,Ar,1,ground,1,curated,94,yes,,1,0,0,0,39.94745,,0.0,,,15.75961,,27.62966,,
Ar_4s,Ar,0,excited,1,literature_supported,50,yes,,1,0,0,0,39.948,1.6423,0.0,1.7037,123.55,11.6,,4.16,,
F,F,0,ground,1,curated,392,yes,,0,1,0,0,18.9984032,0.557,0.0,,,0.822654,158.8,17.42282,3.40119,
F*,F,0,excited,2,candidate,14,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,0,18.9984032,0.557,0.0,,,,,,,
F+,F,1,ground,1,curated,102,no,ionization_energy_eV,0,1,0,0,18.9978546,,0.0,,,18.245535725314177,,,,
F2,F2,0,ground,1,literature_supported,299,no,ionization_energy_eV,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,0.0,202.8,,,0.0991
F2*,F2,0,excited,2,candidate,27,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,,,,,
F2+,F2,1,ground,2,literature_supported,117,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,0,37.99545142,,,,,,,,,
F2_v,F2,0,excited,2,candidate,90,no,ionization_energy_eV,0,2,0,0,37.996,1.16,0.0,1.6785,112.6,0.0991,,,,
FO,FO,0,ground,2,literature_supported,36,no,ionization_energy_eV,0,1,1,0,34.997,,,,,1.128071,,,,
FO*,FO,0,excited,3,candidate,16,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,0,34.997,,,,,,,,,
FO_v,FO,0,excited,3,candidate,16,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,0,34.997,,,,,,,,,
O,O,0,ground,1,curated,136,yes,,0,0,1,0,15.9994,0.7854,0.0,,,2.583077,161.1,13.618055,1.461113,
O+,O,1,ground,1,curated,112,yes,,0,0,1,0,15.9988514,,0.0,,,16.200655,,35.12112,,
O2,O2,0,ground,0,curated,172,yes,,0,0,2,0,31.9988,1.562,0.0,1.73,119.66,0.0,205.2,12.0697,0.448,0.1853
O2+,O2,1,ground,1,curated,106,no,ionization_energy_eV,0,0,2,0,31.9982514,,0.0,,,12.0697,,,,
O2_a1Delta,O2,0,excited,1,curated,37,no,ionization_energy_eV,0,0,2,0,31.9988,1.562,0.0,1.6486,119.66,0.977,,,,
O2_b1Sigma,O2,0,excited,1,curated,40,no,ionization_energy_eV,0,0,2,0,31.9988,1.562,0.0,1.6486,119.66,1.627,,,,
O2_v,O2,0,excited,1,candidate,90,no,ionization_energy_eV,0,0,2,0,31.9988,1.562,0.0,1.73,119.66,0.1853,,,,
O_1D,O,0,excited,1,curated,44,no,ionization_energy_eV,0,0,1,0,15.9994,0.7854,0.0,,,4.5496,,,,
O_1S,O,0,excited,1,literature_supported,42,no,ionization_energy_eV,0,0,1,0,15.9994,0.7854,0.0,,,6.772823,,,,
S,S,0,ground,2,literature_supported,83,yes,,0,0,0,1,32.06,2.8748,0.0,,,2.872976,167.8,10.36001,2.077104,
S+,S,1,ground,1,literature_supported,112,no,enthalpy_formation_eV|ionization_energy_eV,0,0,0,1,32.05945142,,,,,,,,,
SF,FS,0,ground,1,literature_supported,54,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,1,51.05800000000001,,,,,,,,,
SF*,FS,0,excited,2,candidate,25,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,1,51.05800000000001,,,,,,,,,
SF+,FS,1,ground,1,literature_supported,68,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,1,51.05745142000001,,,,,,,,,
SF2,F2S,0,ground,1,literature_supported,90,no,ionization_energy_eV,0,2,0,1,70.05600000000001,,1.05,,,-3.074561,257.7,,,
SF2*,F2S,0,excited,2,candidate,29,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,1,70.05600000000001,,1.05,,,,,,,
SF2+,F2S,1,ground,1,literature_supported,109,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,1,70.05545142000001,,,,,,,,,
SF2_v,F2S,0,excited,2,candidate,29,no,enthalpy_formation_eV|ionization_energy_eV,0,2,0,1,70.05600000000001,,1.05,,,,,,,
SF3,F3S,0,ground,1,literature_supported,43,no,enthalpy_formation_eV,0,3,0,1,89.061,,,,,,,8.18,3.07,
SF3*,F3S,0,excited,2,candidate,29,no,enthalpy_formation_eV|ionization_energy_eV,0,3,0,1,89.061,,,,,,,,,
SF3+,F3S,1,ground,1,literature_supported,65,no,enthalpy_formation_eV|ionization_energy_eV,0,3,0,1,89.0604514,,,,,,,,,
SF3_v,F3S,0,excited,2,candidate,29,no,enthalpy_formation_eV|ionization_energy_eV,0,3,0,1,89.061,,,,,,,,,
SF4,F4S,0,ground,1,curated,160,yes,,0,4,0,1,108.059,,0.63,,,-7.910011,299.6,12.0,1.5,0.0767
SF4*,F4S,0,excited,2,candidate,28,no,enthalpy_formation_eV|ionization_energy_eV,0,4,0,1,108.059,,0.63,,,,,,,
SF4+,F4S,1,ground,1,literature_supported,173,no,enthalpy_formation_eV|ionization_energy_eV,0,4,0,1,108.0584514,,,,,,,,,
SF4_v,F4S,0,excited,2,candidate,89,no,ionization_energy_eV,0,4,0,1,108.059,,0.63,,,-7.833311,,,,
SF5,F5S,0,ground,1,curated,92,yes,,0,5,0,1,127.057,,,,,-9.415421,304.75,9.6,3.85,
SF5*,F5S,0,excited,2,candidate,31,no,enthalpy_formation_eV|ionization_energy_eV,0,5,0,1,127.057,,,,,,,,,
SF5+,F5S,1,ground,1,literature_supported,158,no,enthalpy_formation_eV|ionization_energy_eV,0,5,0,1,127.0564514,,,,,,,,,
SF5_v,F5S,0,excited,2,candidate,31,no,enthalpy_formation_eV|ionization_energy_eV,0,5,0,1,127.057,,,,,,,,,
SF6,F6S,0,ground,0,curated,100,yes,,0,6,0,1,146.055,4.49,0.0,2.75,271.68,-12.649591,291.5,15.32,1.03,
SF6*,F6S,0,excited,1,candidate,27,no,enthalpy_formation_eV|ionization_energy_eV,0,6,0,1,146.055,4.49,0.0,2.75,271.68,,,,,
SF6+,F6S,1,ground,1,candidate,245,no,enthalpy_formation_eV|ionization_energy_eV,0,6,0,1,146.049871,,,,,,,,,
SF6_v,F6S,0,excited,1,candidate,27,no,enthalpy_formation_eV|ionization_energy_eV,0,6,0,1,146.055,4.49,0.0,2.75,271.68,,,,,
SF_v,FS,0,excited,2,candidate,25,no,enthalpy_formation_eV|ionization_energy_eV,0,1,0,1,51.05800000000001,,,,,,,,,
SO,OS,0,ground,2,literature_supported,102,no,ionization_energy_eV,0,0,1,1,48.059000000000005,,1.55,,,0.065295,222.0,,,0.1336
SO*,OS,0,excited,3,candidate,17,no,enthalpy_formation_eV|ionization_energy_eV,0,0,1,1,48.059000000000005,,1.55,,,,,,,
SO2,O2S,0,ground,3,literature_supported,102,no,ionization_energy_eV,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,-3.076115,248.2,,,0.1129
SO2*,O2S,0,excited,4,candidate,19,no,enthalpy_formation_eV|ionization_energy_eV,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,,,,,
SO2F2,F2O2S,0,ground,3,literature_supported,45,no,ionization_energy_eV,0,2,2,1,102.054,,1.12,,,-7.86192,284.0,,,
SO2F2*,F2O2S,0,excited,4,candidate,23,no,enthalpy_formation_eV|ionization_energy_eV,0,2,2,1,102.054,,1.12,,,,,,,
SO2F2_v,F2O2S,0,excited,4,candidate,23,no,enthalpy_formation_eV|ionization_energy_eV,0,2,2,1,102.054,,1.12,,,,,,,
SO2_v,O2S,0,excited,4,candidate,81,no,ionization_energy_eV,0,0,2,1,64.058,3.882,1.63,1.9903,333.4,-2.963215,,,,
SOF,FOS,0,ground,2,literature_supported,18,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,1,67.057,,,,,,,,,
SOF*,FOS,0,excited,3,candidate,12,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,1,67.057,,,,,,,,,
SOF2,F2OS,0,ground,2,literature_supported,34,no,ionization_energy_eV,0,2,1,1,86.055,3.927,,,,-5.637334,278.7,,,
SOF2*,F2OS,0,excited,3,candidate,12,no,enthalpy_formation_eV|ionization_energy_eV,0,2,1,1,86.055,3.927,,,,,,,,
SOF2_v,F2OS,0,excited,3,candidate,12,no,enthalpy_formation_eV|ionization_energy_eV,0,2,1,1,86.055,3.927,,,,,,,,
SOF3,F3OS,0,ground,2,literature_supported,18,no,enthalpy_formation_eV|ionization_energy_eV,0,3,1,1,105.053,,,,,,,,,
SOF3*,F3OS,0,excited,3,candidate,12,no,enthalpy_formation_eV|ionization_energy_eV,0,3,1,1,105.053,,,,,,,,,
SOF3_v,F3OS,0,excited,3,candidate,12,no,enthalpy_formation_eV|ionization_energy_eV,0,3,1,1,105.053,,,,,,,,,
SOF4,F4OS,0,ground,2,literature_supported,18,no,enthalpy_formation_eV|ionization_energy_eV,0,4,1,1,124.051,,,,,,,,,
SOF4*,F4OS,0,excited,3,candidate,12,no,enthalpy_formation_eV|ionization_energy_eV,0,4,1,1,124.051,,,,,,,,,
