reactants,products,id,family,type,depth,status,verdict,decided
F+ + Ar,F + Ar+,cand_Fp_Ar_char_F_Arp,ion_neutral,charge_transfer,1,candidate,exothermic by 1.66 eV,yes
F2+ + Ar,F2 + Ar+,cand_F2p_Ar_char_F2_Arp,ion_neutral,charge_transfer,2,candidate,endothermic by 0.07 eV,yes
F2+ + Ar,F + F + Ar+,cand_F2p_Ar_diss_F_F_Arp,ion_neutral,dissociative_charge_transfer,2,candidate,endothermic by 1.71 eV,yes
SF6+ + Ar,SF6 + Ar+,cand_SF6p_Ar_char_SF6_Arp,ion_neutral,charge_transfer,1,candidate,endothermic by 0.44 eV,yes
SF6+ + Ar,SF4+ + F2 + Ar,cand_SF6p_Ar_diss_SF4p_F2_Ar,ion_neutral,dissociative_charge_transfer,1,candidate,endothermic by 1.42 eV,yes
SF6+ + Ar,SF5+ + F + Ar,cand_SF6p_Ar_diss_SF5p_F_Ar,ion_neutral,dissociative_charge_transfer,1,candidate,exothermic by 1.66 eV,yes
Ar+ + F,Ar + F+,cand_Arp_F_char_Ar_Fp,ion_neutral,charge_transfer,1,candidate,endothermic by 1.66 eV,yes
Ar+ + F*,Ar + F+,cand_Arp_F*_char_Ar_Fp,ion_neutral,charge_transfer,2,candidate,endothermic by 1.66 eV,yes
Ar+ + F2,Ar + F2+,cand_Arp_F2_char_Ar_F2p,ion_neutral,charge_transfer,1,candidate,exothermic by 0.07 eV,yes
Ar+ + F2,Ar+ + F + F,cand_Arp_F2_reac_Arp_F_F,ion_neutral,reactive_scattering,1,candidate,endothermic by 1.65 eV,yes
Ar+ + F2*,Ar + F2+,cand_Arp_F2*_char_Ar_F2p,ion_neutral,charge_transfer,2,candidate,exothermic by 0.07 eV,yes
Ar+ + F2*,Ar+ + F + F,cand_Arp_F2*_reac_Arp_F_F,ion_neutral,reactive_scattering,2,candidate,endothermic by 1.65 eV,yes
Ar+ + F2_v,Ar + F2+,cand_Arp_F2_v_char_Ar_F2p,ion_neutral,charge_transfer,2,candidate,exothermic by 0.07 eV,yes
Ar+ + F2_v,Ar+ + F + F,cand_Arp_F2_v_reac_Arp_F_F,ion_neutral,reactive_scattering,2,candidate,endothermic by 1.65 eV,yes
Ar+ + FO,Ar + F + O+,cand_Arp_FO_diss_Ar_F_Op,ion_neutral,dissociative_charge_transfer,2,candidate,endothermic by 0.14 eV,yes
Ar+ + FO*,Ar + F + O+,cand_Arp_FO*_diss_Ar_F_Op,ion_neutral,dissociative_charge_transfer,3,candidate,endothermic by 0.14 eV,yes
Ar+ + FO_v,Ar + F + O+,cand_Arp_FO_v_diss_Ar_F_Op,ion_neutral,dissociative_charge_transfer,3,candidate,endothermic by 0.14 eV,yes
Ar+ + O,Ar + O+,cand_Arp_O_char_Ar_Op,ion_neutral,charge_transfer,1,candidate,exothermic by 2.14 eV,yes
Ar+ + O2,Ar + O2+,Arp_O2_charge_transfer,ion_neutral,charge_transfer,1,literature_supported,exothermic by 3.69 eV,yes
