bodies,reactants,products,id,family,type,depth,status,verdict
2,e + SF6,e + SF5 + F,e_SF6_dissociation_SF5_F,electron,dissociation,0,literature_supported,endothermic by 4.06 eV
2,e + SF6,e + F+ + SF4 + F,e_SF6_dissociative_ionization_Fp_SF4_F,electron,dissociative_ionization,0,literature_supported,endothermic by 23.81 eV
2,e + SF6,e + SF6,e_SF6_elastic,electron,elastic,0,curated,thermoneutral
2,e + SO,e + S + O_1D,cand_SO_diss_O_1D,electron,dissociation,2,candidate,endothermic by 7.36 eV
2,e + SO,e + S + O_1S,cand_SO_diss_O_1S,electron,dissociation,2,candidate,endothermic by 9.58 eV
2,e + SO,e + O + S_1D,cand_SO_diss_S_1D,electron,dissociation,2,candidate,endothermic by 6.54 eV
2,e + SO,e + O + S_1S,cand_SO_diss_S_1S,electron,dissociation,2,candidate,endothermic by 8.14 eV
2,e + SO,e + O + S,cand_e_SO_to_e_O_S,electron,dissociation,2,candidate,endothermic by 5.39 eV
2,e + SO,e + e + O+ + S,cand_e_SO_to_e_e_Op_S,electron,dissociative_ionization,2,candidate,endothermic by 19.01 eV
2,e + SO,e + SO,cand_e_SO_to_e_SO,electron,elastic,2,candidate,thermoneutral
2,e + SO2,e + S + O2_a1Delta,cand_SO2_diss_O2_a1Delta,electron,dissociation,3,candidate,endothermic by 6.93 eV
2,e + SO2,e + S + O2_b1Sigma,cand_SO2_diss_O2_b1Sigma,electron,dissociation,3,candidate,endothermic by 7.58 eV
2,e + SO2,e + SO + O_1D,cand_SO2_diss_O_1D,electron,dissociation,3,candidate,endothermic by 7.69 eV
2,e + SO2,e + SO + O_1S,cand_SO2_diss_O_1S,electron,dissociation,3,candidate,endothermic by 9.91 eV
2,e + SO2,e + O2 + S_1D,cand_SO2_diss_S_1D,electron,dissociation,3,candidate,endothermic by 7.09 eV
2,e + SO2,e + O2 + S_1S,cand_SO2_diss_S_1S,electron,dissociation,3,candidate,endothermic by 8.70 eV
2,e + SO2,e + SO + O,cand_e_SO2_to_e_SO_O,electron,dissociation,3,candidate,endothermic by 5.72 eV
2,e + SO2,e + S + O2,cand_e_SO2_to_e_S_O2,electron,dissociation,3,candidate,endothermic by 5.95 eV
2,e + SO2,e + SO2,cand_e_SO2_to_e_SO2,electron,elastic,3,candidate,thermoneutral
2,e + SO2F2,e + SF2 + O2_a1Delta,cand_SO2F2_diss_O2_a1Delta,electron,dissociation,3,candidate,endothermic by 5.76 eV
2,e + SO2F2,e + SF2 + O2_b1Sigma,cand_SO2F2_diss_O2_b1Sigma,electron,dissociation,3,candidate,endothermic by 6.41 eV
2,e + SO2F2,e + SOF2 + O_1D,cand_SO2F2_diss_O_1D,electron,dissociation,3,candidate,endothermic by 6.77 eV
2,e + SO2F2,e + SOF2 + O_1S,cand_SO2F2_diss_O_1S,electron,dissociation,3,candidate,endothermic by 9.00 eV
2,e + SO2F2,e + SF2 + O2,cand_e_SO2F2_to_e_SF2_O2,electron,dissociation,3,candidate,endothermic by 4.79 eV
2,e + SO2F2,e + SOF2 + O,cand_e_SO2F2_to_e_SOF2_O,electron,dissociation,3,candidate,endothermic by 4.81 eV
2,e + SO2F2,e + SO2F2,cand_e_SO2F2_to_e_SO2F2,electron,elastic,3,candidate,thermoneutral
2,e + SOF2,e + SO + F2,cand_e_SOF2_to_e_SO_F2,electron,dissociation,2,candidate,endothermic by 5.70 eV
2,e + SOF2,e + SOF2,cand_e_SOF2_to_e_SOF2,electron,elastic,2,candidate,thermoneutral
2,e + S_1D,e + S,e_S_1D_superelastic,electron,deexcitation,2,literature_supported,exothermic by 1.15 eV
2,e + S_1D,e + S_1D,e_S_1D_elastic,electron,elastic,2,literature_supported,thermoneutral
2,e + S_1S,e + S,e_S_1S_superelastic,electron,deexcitation,2,literature_supported,exothermic by 2.75 eV
2,e + S_1S,e + S_1S,e_S_1S_elastic,electron,elastic,2,literature_supported,thermoneutral
