equation,reaction_type,family,process,origin,depth,consistency_verdict,state_verdict,thermochemistry_verdict,reaction_evidence_verdict,kinetics_verdict,delta_h_eV,delta_g_eV,threshold_eV,kinetic_data,selected,exclusion_reason,id
F- + F2 -> F + F2 + e,Collisional electron detachment,ion,collisional_detachment,attested_only,0,pass,pass,pass,pass,pass,3.401129274685823,,,rate_coefficient,true,,rxn_dfc63c7a8750
SF2- + F2 -> SF2 + F2 + e,Collisional electron detachment,ion,collisional_detachment,attested_only,0,pass,pass,unknown,pass,pass,,,,rate_coefficient,true,,rxn_a802ae203deb
SF3- + F2 -> SF3 + F2 + e,Collisional electron detachment,ion,collisional_detachment,attested_only,0,pass,pass,unknown,pass,pass,,,,rate_coefficient,true,,rxn_9c837ac4a14e
SF4- + F2 -> SF4 + F2 + e,Collisional electron detachment,ion,collisional_detachment,attested_only,0,pass,pass,unknown,pass,pass,,,,rate_coefficient,true,,rxn_6cf693b6c8bb
SF5- + F2 -> SF5 + F2 + e,Collisional electron detachment,ion,collisional_detachment,attested_only,0,pass,pass,unknown,pass,pass,,,,rate_coefficient,true,,rxn_a99e2d715e69
SF6- + F2 -> F2 + SF6 + e,Collisional electron detachment,ion,collisional_detachment,attested_only,0,pass,pass,unknown,pass,pass,,,,rate_coefficient,true,,rxn_0e336d3d3763
Ar+ + SF6 -> SF5+ + Ar + F,Dissociative charge transfer,ion,dissociative_charge_transfer,attested_only,0,pass,pass,pass,pass,fail,,-1.206045855050711,,,true,,rxn_20a52b517b95
SF5+ + SF6 -> SF3+ + F2 + SF6,Ion-neutral reactive scattering,ion,reactive_scattering,attested_only,0,pass,pass,pass,pass,pass,,1.5709706474711074,,rate_coefficient,true,,rxn_3bd12e1a5c60
Ar+ + F -> F+ + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,1.6632717253141767,1.705616646359994,,,true,,rxn_06cb71dde6af
Ar+ + O -> O+ + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,-2.142031999999999,,,,true,,rxn_baee40490ad8
Ar+ + O2 -> O2+ + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,pass,pass,-3.689910000000001,,,rate_coefficient,true,,rxn_2d29145e0f98
Ar+ + SF4 -> SF4+ + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,-3.603837977659351,,,true,,rxn_41c0b022ad4b
Ar+ + SF5 -> SF5+ + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,-4.543136050397395,,,true,,rxn_af771f38d29a
Ar+ + SF6 -> SF6+ + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,unknown,pass,unknown,unknown,,,,,true,,rxn_df472b90f49e
Ar- + F -> F- + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_a8a44e0ec0d6
Ar- + O -> O- + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_1025dffb221c
Ar- + O2 -> O2- + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_19e271a11252
Ar- + SF4 -> SF4- + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_ca4a73f53383
Ar- + SF5 -> SF5- + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_96974b20a6b3
Ar- + SF6 -> SF6- + Ar,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_74eb4ddde3b2
F- + Ar -> Ar- + F,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_ec473c752d6b
F- + O -> O- + F,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,1.9405522746858233,1.8917737765877098,,,true,,rxn_0f82a3e8a48a
F- + O2 -> O2- + F,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_cc5f6f314cc5
F- + SF4 -> SF4- + F,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,2.061757384344597,,,true,,rxn_06980d626abe
F- + SF5 -> SF5- + F,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,-0.3734592740222178,,,true,,rxn_6d245133af1c
F- + SF6 -> SF6- + F,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,2.1013714425417027,,,true,,rxn_b3413db0dea7
F2- + Ar -> Ar- + F2,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,unknown,unknown,unknown,,,,,true,,rxn_64adb3832196
F2- + F -> F- + F2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_54c338942507
F2- + O -> O- + F2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_2e279f8e9223
F2- + O2 -> O2- + F2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_dd3ed4f4fec0
F2- + SF4 -> SF4- + F2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_1fb1b3fe2fa9
F2- + SF5 -> SF5- + F2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_daae65293252
F2- + SF6 -> SF6- + F2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_a9bbf3c67e64
O+ + Ar -> Ar+ + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,2.1420320000000004,,,,true,,rxn_81849ac06cf9
O+ + F -> F+ + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,3.8053037253141753,,,,true,,rxn_b446a2989b42
O+ + O2 -> O2+ + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,pass,fail,-1.5478780000000025,,,,true,,rxn_2bf32666fe5b
O+ + SF4 -> SF4+ + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_6ea01ff6a64f
O+ + SF5 -> SF5+ + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_d2b08f84b796
O+ + SF6 -> SF6+ + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,unknown,pass,unknown,unknown,,,,,true,,rxn_b71cf0dfaaa3
O- + Ar -> Ar- + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_5d5111d16a78
O- + F -> F- + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,-1.9405522746858233,-1.89177377658771,,,true,,rxn_fb682ccd83fc
O- + O2 -> O2- + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_b4bebcad19c6
O- + SF4 -> SF4- + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,0.1699836077568876,,,true,,rxn_f4709490bb53
O- + SF5 -> SF5- + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,-2.265233050609927,,,true,,rxn_8961be2cc82c
O- + SF6 -> SF6- + O,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,0.20959766595399318,,,true,,rxn_747dc721c2e1
O2+ + Ar -> Ar+ + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,3.689910000000001,,,,true,,rxn_88b106712082
O2+ + F -> F+ + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,5.353181725314178,,,,true,,rxn_f9dc24fdc6c8
O2+ + O -> O+ + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,1.547878000000002,,,,true,,rxn_37bbce670254
O2+ + SF4 -> SF4+ + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_bae014eddf1b
O2+ + SF5 -> SF5+ + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_66d68985132d
O2+ + SF6 -> SF6+ + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,unknown,pass,unknown,unknown,,,,,true,,rxn_2ce7e8a60c9a
O2- + Ar -> Ar- + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_3f735a110e81
O2- + F -> F- + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_7e6088f55d3e
O2- + O -> O- + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_9806fd0ca7ab
O2- + SF4 -> SF4- + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_1813900d0ed0
O2- + SF5 -> SF5- + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_a902753ee2ea
O2- + SF6 -> SF6- + O2,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_f02db515c6e2
SF4+ + Ar -> Ar+ + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,3.6038379776593517,,,true,,rxn_deeafd2a53dd
SF4+ + F -> F+ + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,5.309454624019348,,,true,,rxn_fd0553521d54
SF4+ + O -> O+ + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_ea1c418e1115
SF4+ + O2 -> O2+ + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_e05c29ae0587
SF4+ + SF5 -> SF5+ + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,-0.9392980727380422,,,true,,rxn_38852a1947f3
SF4+ + SF6 -> SF6+ + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,unknown,pass,unknown,unknown,,,,,true,,rxn_f1cd056ba9ab
SF4- + Ar -> Ar- + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,fail,pass,unknown,unknown,,,,,true,,rxn_e847715d6cf0
SF4- + F -> F- + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,-2.061757384344597,,,true,,rxn_c6c399e525d9
SF4- + O -> O- + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,-0.16998360775688787,,,true,,rxn_f82354f9b0f5
SF4- + O2 -> O2- + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,,,,true,,rxn_23173a1cade3
SF4- + SF5 -> SF5- + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,-2.435216658366813,,,true,,rxn_0f0f62a105a5
SF4- + SF6 -> SF6- + SF4,Charge exchange,ion,charge_exchange,mechanical,2,pass,pass,pass,unknown,unknown,,0.03961405819710585,,,true,,rxn_4fb9abf8b28e
