species,formula,charge,excitation,resolution,lifetime_class,state_label,state_symbol,state_meaning,alternative_resolution_states,structure_scope,origin,depth,state_verdict,thermochemistry_verdict,selected,state_energy_eV,lifetime_s,mass_amu,enthalpy_formation_eV,ionization_energy_eV,electron_affinity_eV,id
SF6(v),SF6,0,vibrational,lumped,not_applicable,vibrational,v,vibrationally excited manifold (lumped),,formula_only,mechanical,1,unknown,unknown,true,,,,,,,SF6@vibrational
SF6*,SF6,0,electronic,lumped,unspecified,electronic,*,electronic-state manifold (lumped; lifetime unspecified),,formula_only,mechanical,1,unknown,unknown,true,,,,,,,SF6@electronic
SF6+,SF6,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,1,unknown,unknown,true,,,,,,,SF6+@ground
SF6-,SF6,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,1,pass,pass,true,0.0,,146.0555486,,,1.03,SF6-@ground
ArF+,ArF,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,2,unknown,unknown,true,,,,,,,ArF+@ground
ArF-,ArF,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,2,unknown,unknown,true,,,,,,,ArF-@ground
F+,F,1,ground,resolved,not_applicable,ground,,electronic ground state,,not_applicable,mechanical,2,pass,pass,true,0.0,,18.9978546,18.245535725314177,,,F+@ground
F2+,F2,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,2,pass,unknown,true,0.0,,,,,,F2+@ground
O2F,O2F,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,O2F@ground
O2F+,O2F,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,O2F+@ground
O2F-,O2F,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,O2F-@ground
OF,OF,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,2,pass,pass,true,0.0,,,1.128071,,,OF@ground
OF+,OF,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,2,unknown,unknown,true,,,,,,,OF+@ground
OF-,OF,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,2,unknown,unknown,true,,,,,,,OF-@ground
SF2,SF2,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,pass,pass,true,0.0,,,-3.074561,,,SF2@ground
SF2+,SF2,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,pass,pass,true,0.0,,,,,,SF2+@ground
SF2-,SF2,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,pass,pass,true,0.0,,,,,,SF2-@ground
SF3,SF3,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,pass,pass,true,0.0,,89.061,,8.18,3.07,SF3@ground
SF3+,SF3,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,pass,pass,true,0.0,,89.0604514,,,,SF3+@ground
