candidate,reaction_type,verdict,reason,id
e + O2 -> 2 O + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_4d8f6edbf3ae
e + SF6 -> F + SF5 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_57bc017668fe
e + SF6 -> SF4 + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_5821b503a060
e + O2 -> O- + O,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_332f5a51e689
e + SF6 -> F- + SF5,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d1b634e2f32b
e + SF6 -> F2- + SF4,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_c0ba518df9c5
e + SF6 -> SF4- + F2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_6536e251d22e
e + SF6 -> SF5- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_1fbc832e061a
e + O2 -> O+ + O + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_1dc9f78c977a
e + SF6 -> SF4+ + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_988a4e1bb79d
e + SF6 -> SF5+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_e85a3e39c348
e + Ar -> Ar + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_c8f95c3d8ede
e + O2 -> O2 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_5f0e9e57072b
e + SF6 -> SF6 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_6a629dd07190
e + Ar -> Ar(m) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_86e8fb853dd8
e + Ar -> Ar(r) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_271084b2fc94
e + O2 -> O2(v) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_ddfd4cfd2bad
e + O2 -> O2* + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_4f5cc5cb071e
e + SF6 -> SF6(v) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_72ce47489e94
e + SF6 -> SF6* + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_1a0e4d47f87d
e + Ar -> Ar+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_a69a28bff768
e + O2 -> O2+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_1ca03209bf56
e + SF6 -> SF6+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_09b4827bc0d8
e + F -> F-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_8fa839560004
e + F2 -> F2-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_900787e68127
e + O -> O-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_f2d5b52e7a92
e + SF4 -> SF4-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_0223ada15f9f
e + SF5 -> SF5-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_138054b7babe
e + Ar(m) -> Ar + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_fa2f9066d8c2
e + Ar(r) -> Ar + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_ed39dd867e7c
e + O2(v) -> O2 + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_3a3dcf92975f
