id,equation,family,type,depth,consume,threshold_eV,electron_energy_cost_eV,rate_value,rate_unit,rate_basis,reverse_rate,frequency_upper_bound_s-1,relevance,delta_g_eV,status,source
cand_e_O2_a1Delta_to_e_O_O,e + O2_a1Delta -> e + O + O,electron,dissociation,1,cross_section,,-4.189153999999999,,,,,,unknown,3.700816977966337,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_a1Delta_to_e_e_Op_O,e + O2_a1Delta -> e + e + O+ + O,electron,dissociative_ionization,1,cross_section,,-17.806732,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_b1Sigma_to_e_O_O,e + O2_b1Sigma -> e + O + O,electron,dissociation,1,cross_section,,-3.539154,,,,,,unknown,3.0508169847866604,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_b1Sigma_to_e_e_Op_O,e + O2_b1Sigma -> e + e + O+ + O,electron,dissociative_ionization,1,cross_section,,-17.156732,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_v_to_e_O2_v,e + O2_v -> e + O2_v,electron,elastic,1,cross_section,0.0,,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_v_to_e_e_O2p,e + O2_v -> e + e + O2+,electron,ionization,1,cross_section,,-11.8844,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_v_to_e_O_O,e + O2_v -> e + O + O,electron,dissociation,1,cross_section,,-4.980854,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_e_O2_v_to_e_e_Op_O,e + O2_v -> e + e + O+ + O,electron,dissociative_ionization,1,cross_section,,-18.598432,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_e_O_1S_to_e_e_Op,e + O_1S -> e + e + O+,electron,ionization,1,cross_section,,-9.427832000000002,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
cand_O2_v_Ar_vt,O2_v + Ar -> O2 + Ar,neutral_neutral,vibrational_relaxation,1,rate_coefficient,0.0,,,,,,,unknown,,candidate,a heavy collision de-excites the manifold; the rate depends strongly on which partner it is
cand_O2_v_Ar_4s_vt,O2_v + Ar_4s -> O2 + Ar_4s,neutral_neutral,vibrational_relaxation,1,rate_coefficient,0.0,,,,,,,unknown,,candidate,a heavy collision de-excites the manifold; the rate depends strongly on which partner it is
cand_O2_v_O_vt,O2_v + O -> O2 + O,neutral_neutral,vibrational_relaxation,1,rate_coefficient,0.0,,,,,,,unknown,,candidate,a heavy collision de-excites the manifold; the rate depends strongly on which partner it is
cand_O2_v_O2_vt,O2_v + O2 -> O2 + O2,neutral_neutral,vibrational_relaxation,1,rate_coefficient,0.0,,,,,,,unknown,,candidate,a heavy collision de-excites the manifold; the rate depends strongly on which partner it is
cand_O2_v_O2_a1Delta_vt,O2_v + O2_a1Delta -> O2 + O2_a1Delta,neutral_neutral,vibrational_relaxation,1,rate_coefficient,0.0,,,,,,,unknown,,candidate,a heavy collision de-excites the manifold; the rate depends strongly on which partner it is
cand_O2_v_O2_b1Sigma_vt,O2_v + O2_b1Sigma -> O2 + O2_b1Sigma,neutral_neutral,vibrational_relaxation,1,rate_coefficient,0.0,,,,,,,unknown,,candidate,a heavy collision de-excites the manifold; the rate depends strongly on which partner it is
cand_O2_v_O_1D_vt,O2_v + O_1D -> O2 + O_1D,neutral_neutral,vibrational_relaxation,1,rate_coefficient,0.0,,,,,,,unknown,,candidate,a heavy collision de-excites the manifold; the rate depends strongly on which partner it is
cand_O2_v_O_1S_vt,O2_v + O_1S -> O2 + O_1S,neutral_neutral,vibrational_relaxation,1,rate_coefficient,0.0,,,,,,,unknown,,candidate,a heavy collision de-excites the manifold; the rate depends strongly on which partner it is
cand_Arp_O_char_Ar_Op,Ar+ + O -> Ar + O+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,6.140783410095053e-16,m3/s,langevin_estimate,,744998.3458438178,comparable,,candidate,"delta H = -2.14 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Arp_O2_a1Delta_char_Ar_O2p,Ar+ + O2_a1Delta -> Ar + O2+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,6.944166251779241e-16,m3/s,langevin_estimate,,842464.5562869511,comparable,,candidate,"delta H = -4.67 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Arp_O2_b1Sigma_char_Ar_O2p,Ar+ + O2_b1Sigma -> Ar + O2+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,6.944166251779241e-16,m3/s,langevin_estimate,,842464.5562869511,comparable,,candidate,"delta H = -5.32 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Arp_O2_b1Sigma_diss_Ar_Op_O,Ar+ + O2_b1Sigma -> Ar + O+ + O,ion_neutral,dissociative_charge_transfer,1,rate_coefficient,1.3975990000000003,,6.944166251779241e-16,m3/s,langevin_estimate,,842464.5562869511,comparable,,candidate,"delta H = +1.40 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Arp_O2_v_char_Ar_O2p,Ar+ + O2_v -> Ar + O2+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,6.944166251779241e-16,m3/s,langevin_estimate,,842464.5562869511,comparable,,candidate,"delta H = -3.69 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Arp_O_1D_char_Ar_Op,Ar+ + O_1D -> Ar + O+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,6.140783410095053e-16,m3/s,langevin_estimate,,744998.3458438178,comparable,,candidate,"delta H = -4.11 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Arp_O_1S_char_Ar_Op,Ar+ + O_1S -> Ar + O+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,6.140783410095053e-16,m3/s,langevin_estimate,,744998.3458438178,comparable,,candidate,"delta H = -6.33 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Op_Ar_4s_char_O_Arp,O+ + Ar_4s -> O + Ar+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,8.879919716625724e-16,m3/s,langevin_estimate,,1077309.6945963881,comparable,,candidate,"delta H = -9.46 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Op_O2_a1Delta_char_O_O2p,O+ + O2_a1Delta -> O + O2+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,8.962437720654399e-16,m3/s,langevin_estimate,,1087320.7587226091,fast,,candidate,"delta H = -2.52 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Op_O2_b1Sigma_char_O_O2p,O+ + O2_b1Sigma -> O + O2+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,8.962437720654399e-16,m3/s,langevin_estimate,,1087320.7587226091,fast,,candidate,"delta H = -3.17 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_Op_O2_v_char_O_O2p,O+ + O2_v -> O + O2+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,8.962437720654399e-16,m3/s,langevin_estimate,,1087320.7587226091,fast,,candidate,"delta H = -1.55 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_O2p_Ar_4s_char_O2_Arp,O2+ + Ar_4s -> O2 + Ar+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,7.120435863506108e-16,m3/s,langevin_estimate,,863849.5425971937,comparable,,candidate,"delta H = -7.91 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_O2p_Ar_4s_diss_Op_O_Ar,O2+ + Ar_4s -> O+ + O + Ar,ion_neutral,dissociative_charge_transfer,1,rate_coefficient,0.0,,7.120435863506108e-16,m3/s,langevin_estimate,,863849.5425971937,comparable,,candidate,"delta H = -4.89 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_O2p_Ar_4s_diss_O_O_Arp,O2+ + Ar_4s -> O + O + Ar+,ion_neutral,dissociative_charge_transfer,1,rate_coefficient,0.0,,7.120435863506108e-16,m3/s,langevin_estimate,,863849.5425971937,comparable,,candidate,"delta H = -2.74 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_O2p_O_char_O2_Op,O2+ + O -> O2 + O+,ion_neutral,charge_transfer,1,rate_coefficient,1.5483550000000008,,6.355172768326321e-16,m3/s,langevin_estimate,,771008.0105042328,comparable,,candidate,"delta H = +1.55 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_O2p_O_1D_char_O2_Op,O2+ + O_1D -> O2 + O+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,6.355172768326321e-16,m3/s,langevin_estimate,,771008.0105042328,comparable,,candidate,"delta H = -0.42 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
cand_O2p_O_1S_char_O2_Op,O2+ + O_1S -> O2 + O+,ion_neutral,charge_transfer,1,rate_coefficient,0.0,,6.355172768326321e-16,m3/s,langevin_estimate,,771008.0105042328,comparable,,candidate,"delta H = -2.64 eV from formation enthalpies, with ion enthalpies built from the ionization energy"
