bodies,reactants,products,id,family,type,depth,status,verdict
2,CF4+ + Ar,CF4 + Ar+,cand_CF4p_Ar_char_CF4_Arp,ion_neutral,charge_transfer,2,candidate,comparable
2,CF4+ + Ar,CF3+ + F + Ar,cand_CF4p_Ar_diss_CF3p_F_Ar,ion_neutral,dissociative_charge_transfer,2,candidate,comparable
2,F+ + Ar,F + Ar+,cand_Fp_Ar_char_F_Arp,ion_neutral,charge_transfer,1,candidate,comparable
2,F2+ + Ar,F2 + Ar+,cand_F2p_Ar_char_F2_Arp,ion_neutral,charge_transfer,2,candidate,comparable
2,F2+ + Ar,F + F + Ar+,cand_F2p_Ar_diss_F_F_Arp,ion_neutral,dissociative_charge_transfer,2,candidate,comparable
2,Ar+ + C,Ar + C+,cand_Arp_C_char_Ar_Cp,ion_neutral,charge_transfer,2,candidate,comparable
2,Ar+ + CF4,Ar + CF4+,cand_Arp_CF4_char_Ar_CF4p,ion_neutral,charge_transfer,1,candidate,comparable
2,Ar+ + CF4,Ar + CF3+ + F,cand_Arp_CF4_diss_Ar_CF3p_F,ion_neutral,dissociative_charge_transfer,1,candidate,comparable
2,Ar+ + CF4*,Ar + CF4+,cand_Arp_CF4*_char_Ar_CF4p,ion_neutral,charge_transfer,1,candidate,comparable
2,Ar+ + CF4*,Ar + CF3+ + F,cand_Arp_CF4*_diss_Ar_CF3p_F,ion_neutral,dissociative_charge_transfer,1,candidate,comparable
2,Ar+ + CF4_v,Ar + CF4+,cand_Arp_CF4_v_char_Ar_CF4p,ion_neutral,charge_transfer,1,candidate,comparable
2,Ar+ + CF4_v,Ar + CF3+ + F,cand_Arp_CF4_v_diss_Ar_CF3p_F,ion_neutral,dissociative_charge_transfer,1,candidate,comparable
2,Ar+ + C_1D,Ar + C+,cand_Arp_C_1D_char_Ar_Cp,ion_neutral,charge_transfer,2,candidate,comparable
2,Ar+ + C_1S,Ar + C+,cand_Arp_C_1S_char_Ar_Cp,ion_neutral,charge_transfer,2,candidate,comparable
2,Ar+ + F,Ar + F+,cand_Arp_F_char_Ar_Fp,ion_neutral,charge_transfer,1,candidate,comparable
2,Ar+ + F*,Ar + F+,cand_Arp_F*_char_Ar_Fp,ion_neutral,charge_transfer,2,candidate,comparable
2,Ar+ + F2,Ar + F2+,cand_Arp_F2_char_Ar_F2p,ion_neutral,charge_transfer,1,candidate,comparable
2,Ar+ + F2,Ar+ + F + F,cand_Arp_F2_reac_Arp_F_F,ion_neutral,reactive_scattering,1,candidate,comparable
2,Ar+ + F2*,Ar + F2+,cand_Arp_F2*_char_Ar_F2p,ion_neutral,charge_transfer,2,candidate,comparable
2,Ar+ + F2*,Ar+ + F + F,cand_Arp_F2*_reac_Arp_F_F,ion_neutral,reactive_scattering,2,candidate,comparable
2,Ar+ + F2_v,Ar + F2+,cand_Arp_F2_v_char_Ar_F2p,ion_neutral,charge_transfer,2,candidate,comparable
2,Ar+ + F2_v,Ar+ + F + F,cand_Arp_F2_v_reac_Arp_F_F,ion_neutral,reactive_scattering,2,candidate,comparable
2,C+ + Ar_4s,C + Ar+,cand_Cp_Ar_4s_char_C_Arp,ion_neutral,charge_transfer,2,candidate,comparable
2,CF2+ + Ar_4s,CF2 + Ar+,cand_CF2p_Ar_4s_char_CF2_Arp,ion_neutral,charge_transfer,1,candidate,comparable
2,CF2+ + Ar_4s,CF + F + Ar+,cand_CF2p_Ar_4s_diss_CF_F_Arp,ion_neutral,dissociative_charge_transfer,1,candidate,comparable
2,CF2+ + Ar_4s,CF + F+ + Ar,cand_CF2p_Ar_4s_diss_CF_Fp_Ar,ion_neutral,dissociative_charge_transfer,1,candidate,comparable
2,CF2+ + Ar_4s,C+ + F2 + Ar,cand_CF2p_Ar_4s_diss_Cp_F2_Ar,ion_neutral,dissociative_charge_transfer,1,candidate,comparable
2,CF3+ + Ar_4s,CF3 + Ar+,cand_CF3p_Ar_4s_char_CF3_Arp,ion_neutral,charge_transfer,1,candidate,comparable
