id,equation,family,type,status,verdict
e_Ar_elastic,e + Ar -> e + Ar,electron,elastic,curated,unattested
e_Ar_excitation_4s_lumped,e + Ar -> e + Ar_4s,electron,excitation,curated,unattested
e_Ar_ionization,e + Ar -> 2 e + Ar+,electron,ionization,curated,unattested
e_Ar4s_elastic,e + Ar_4s -> e + Ar_4s,electron,elastic,literature_supported,unattested
e_Ar4s_stepwise_ionization,e + Ar_4s -> 2 e + Ar+,electron,ionization,literature_supported,unattested
e_Ar4s_superelastic,e + Ar_4s -> e + Ar,electron,deexcitation,literature_supported,unattested
